"Affiliate Banners","Geaffilieerde baniere"
"My Credit","My Krediet"
"Available Balance","Beskikbare saldo"
"Holding Balance","Hoewe Balans"
"Total Earned","Totaal verdien"
"Total Paid","Totaal betaal"
"Refer friends","Verwys vriende"
"Affiliate Setting","Geaffilieerde instelling"
"Signup Affiliate","Teken Affiliate"
"My Withdrawal","My Onttrekking"
"You can request withdraw when your balance equal or greater than %1","Jy kan versoek onttrek wanneer jou balans gelyk is aan of groter as %1"
"You can withdraw a minimum %1","Jy kan 'n minimum van %1 onttrek"
"You can withdraw a maximum %1","Jy kan 'n maksimum van %1 onttrek"
"Save Account","Stoor rekening"
"Cancel","kanselleer"
"New Account","Nuwe rekening"
"Please select a customer","Kies asseblief 'n kliënt"
"Account Information","Rekening Inligting"
"Customer","kliënt"
"Affiliate Group","Geaffilieerde Groep"
"Referred By","Verwys deur"
"Affiliate account Id","Geaffilieerde rekening ID"
"Status","status"
"Email Notification","E-pos kennisgewing"
"Account","rekening"
"Save and Continue Edit","Stoor en gaan voort Verander"
"Edit Account '%1'","Wysig rekening '%1'"
"Balance","balans"
"Referral Code","Verwysingskode"
"Save Banner","Stoor banier"
"Edit Banner ""%1""","Banner wysig ""%1"""
"New Banner","Nuwe banier"
"Banner Information","Banierinligting"
"Title","Titel"
"Content","inhoud"
"Url","Url"
"If empty, home page will be used.","Indien leeg, sal tuisblad gebruik word."
"Related Campaign","Verwante veldtog"
"Only affiliates who are in above campaign can see this banner.","Slegs affiliasies wat in bogenoemde veldtog is, kan hierdie banner sien."
"Rel Nofollow","Rel Nofollow"
"Put the rel=""nofollow"" attribute on the link.","Plaas die rel = ""nofollow"" kenmerk op die skakel."
"Save Campaign","Stoor veldtog"
"Edit Campaign ""%1""","Wysig veldtog ""%1"""
"New Campaign","Nuwe veldtog"
"Campaign Information","Veldtoginligting"
"Name","naam"
"Description","beskrywing"
"Website IDs","Webwerf ID's"
"Affiliate Groups","Geaffilieerde Groepe"
"Display","vertoning"
"Active From Date","Aktief vanaf datum"
"Active To Date","Aktiewe tot datum"
"Sort Order","Sorteervolgorde"
"Pay Per Sale","Betaal per verkope"
"Add Commission Type and Value","Voeg kommissie tipe en waarde"
"Commissions","kommissies"
"Percentage of grand total","Persentasie van die grand totaal"
