"Affiliate Banners","إعلانات بانر التابعة"
"My Credit","بلدي الائتمان"
"Available Balance","الرصيد المتوفر"
"Holding Balance","عقد الرصيد"
"Total Earned","إجمالي المكتسبة"
"Total Paid","مجموع المبالغ المدفوعة"
"Refer friends","الرجوع الأصدقاء"
"Affiliate Setting","إعداد الشريك التابع"
"Signup Affiliate","الاشتراك التابعة"
"My Withdrawal","سحبي"
"You can request withdraw when your balance equal or greater than %1","يمكنك طلب السحب عندما يساوي رصيدك أو يزيد عن %1"
"You can withdraw a minimum %1","يمكنك سحب حد أدنى من %1"
"You can withdraw a maximum %1","يمكنك سحب حد أقصى قدره %1"
"Save Account","حفظ الحساب"
"Cancel","إلغاء"
"New Account","حساب جديد"
"Please select a customer","يرجى تحديد عميل"
"Account Information","معلومات الحساب"
"Customer","زبون"
"Affiliate Group","المجموعة التابعة"
"Referred By","نسب من قبل"
"Affiliate account Id","معرف حساب الشركاء التابعين"
"Status","الحالة"
"Email Notification","إشعار البريد الإلكتروني"
"Account","الحساب"
"Save and Continue Edit","حفظ ومتابعة تحرير"
"Edit Account '%1'","تعديل الحساب '%1'"
"Balance","توازن"
"Referral Code","كود الإحالة"
"Save Banner","حفظ بانر"
"Edit Banner ""%1""","تعديل بانر ""%1"""
"New Banner","بانر جديد"
"Banner Information","معلومات البانر"
"Title","عنوان"
"Content","يحتوى"
"Url","رابط"
"If empty, home page will be used.","إذا كانت فارغة، سيتم استخدام الصفحة الرئيسية."
"Related Campaign","حملة ذات صلة"
"Only affiliates who are in above campaign can see this banner.","يمكن فقط للشركاء التابعين في الحملة أعلاه مشاهدة هذا البانر."
"Rel Nofollow","ريل نوفولو"
"Put the rel=""nofollow"" attribute on the link.","ضع السمة ريل = ""نوفولو"" على الرابط."
"Save Campaign","حفظ الحملة"
"Edit Campaign ""%1""","تعديل الحملة ""%1"""
"New Campaign","حملة جديدة"
"Campaign Information","معلومات الحملة"
"Name","اسم"
"Description","وصف"
"Website IDs","معرفات مواقع الويب"
"Affiliate Groups","المجموعات التابعة"
"Display","عرض"
"Active From Date","نشط من التاريخ"
"Active To Date","نشط إلى التاريخ"
"Sort Order","امر ترتيب"
"Pay Per Sale","دفع لكل بيع"
"Add Commission Type and Value","إضافة نوع اللجنة والقيمة"
"Commissions","اللجان"
"Percentage of grand total","نسبة المجموع الكلي"
"Fixed amount","مبلغ ثابت"
"Apply the rule only if the following conditions are met (leave blank for all products)","تطبيق القاعدة فقط إذا تم استيفاء الشروط التالية (ترك فارغة لجميع المنتجات)"
"Condition","شرط"
"Conditions","الظروف"
"Discounts","خصومات"
"Discount","خصم"
"Apply","تطبيق"
"Discount Amount","مقدار الخصم"
"Apply to Shipping Amount","تنطبق على كمية الشحن"
"Discount Description","وصف الخصم"
"Save Group","حفظ المجموعة"
"New Group","مجموعة جديدة"
"Group Information","معلومات المجموعة"
"Group","مجموعة"
"label","ضع الكلمة المناسبة"
"Reset banner traffic","إعادة تعيين حركة بانر"
"Save Transaction","حفظ المعاملة"
"New Transaction","عملية جديدة"
"Please select an affiliate account","الرجاء تحديد حساب تابع"
"Transaction Information","معلومات عملية"
"Amount","كمية"
"Add or subtract affiliate's balance. E.g: 99 or -99","إضافة أو طرح رصيد التابع. على سبيل المثال: 99 أو -99"
"Holding Transaction For","عقد الصفقة ل"
"Transaction","عملية تجارية"
