"Affiliate Banners","партнёрская Банэры"
"My Credit","мой Крэдыт"
"Available Balance","даступны рэшту"
"Holding Balance","холдынг Баланс"
"Total Earned","Усяго Заробленыя"
"Total Paid","Усяго Paid"
"Refer friends","см сяброў"
"Affiliate Setting","партнёрская Настройка"
"Signup Affiliate","рэгістрацыя Партнёрская"
"My Withdrawal","маё Вывядзенне"
"You can request withdraw when your balance equal or greater than %1","Вы можаце запытаць зняць, калі рэшту роўны або больш %1"
"You can withdraw a minimum %1","Вы можаце зняць мінімум %1"
"You can withdraw a maximum %1","Вы можаце зняць максімум %1"
"Save Account","Захаваць уліковы запіс"
"Cancel","адмяніць"
"New Account","Новы ўліковы запіс"
"Please select a customer","Калі ласка, абярыце кліента"
"Account Information","інфармацыя аб ўліковага запісу"
"Customer","кліент"
"Affiliate Group","партнёрская група"
"Referred By","запрошаны Па"
"Affiliate account Id","Партнёрскі рахунак Id"
"Status","статус"
"Email Notification","Апавяшчэнне па электроннай пошце"
"Account","рахункі"
"Save and Continue Edit","Захаваць і працягнуць рэдагаванне"
"Edit Account '%1'","Змяніць уліковы запіс «%1»"
"Balance","баланс"
"Referral Code","напрамак Код"
"Save Banner","захаваць Банэр"
"Edit Banner ""%1""","Edit Banner ""%1"""
"New Banner","новы банэр"
"Banner Information","Banner інфармацыя"
"Title","тытульны"
"Content","змест"
"Url","Вэб-сайт"
"If empty, home page will be used.","Калі пуста, будзе выкарыстоўвацца хатняя старонка."
"Related Campaign","звязаная кампанія"
"Only affiliates who are in above campaign can see this banner.","Толькі філіялы, якія знаходзяцца ў вышэй кампанію можна ўбачыць гэты банэр."
"Rel Nofollow","Rel Nofollow"
"Put the rel=""nofollow"" attribute on the link.","Змесціце отн = ""NOFOLLOW"" атрыбут па спасылцы."
"Save Campaign","захаваць кампанію"
"Edit Campaign ""%1""","Змена кампаніі «%1»"
"New Campaign","новая кампанія"
"Campaign Information","інфармацыйная кампанія"
"Name","імя"
"Description","апісанне"
"Website IDs","ідэнтыфікатары сайтаў"
"Affiliate Groups","далучаныя групы"
"Display","дысплей"
"Active From Date","Актыўны З даты"
"Active To Date","Актыўны To Date"
"Sort Order","парадак сартавання"
"Pay Per Sale","Pay Per продажу"
"Add Commission Type and Value","Дадаць тып камісіі і значэнне"
"Commissions","камісійныя"
"Percentage of grand total","працэнт выніку"
"Fixed amount","фіксаваная сума"
"Apply the rule only if the following conditions are met (leave blank for all products)","Прымяненне правілы толькі пры выкананні наступных умоў (пакіньце пустым для ўсіх прадуктаў)"
"Condition","стан"
"Conditions","ўмовы"
"Discounts","скідкі"
"Discount","зніжка"
"Apply","ўжываць"
"Discount Amount","сума зніжкі"
"Apply to Shipping Amount","Нанесці на ўпакоўцы Колькасць"
"Discount Description","зніжка Апісанне"
"Save Group","захаваць групу"
"New Group","Новая група"
"Group Information","інфармацыя пра групу"
"Group","група"
"label","этыкетка"
"Reset banner traffic","Скід банер трафік"
"Save Transaction","захаваць здзелкі"
"New Transaction","Новая здзелка"
"Please select an affiliate account","Калі ласка, абярыце партнёрскі рахунак"
"Transaction Information","інфармацыя аб транзакцыі"
"Amount","сума"
"Add or subtract affiliate's balance. E.g: 99 or -99","Складанне і адніманне балансу далучанага філіяла. Напрыклад: 99 або -99"
"Holding Transaction For","Правядзенне транзакцый для"
"Transaction","здзелка"
"Are you sure you want to cancel this transaction?","Вы ўпэўненыя, што жадаеце адмяніць гэтую здзелку?"
"Are you sure you want to complete this transaction?","Вы ўпэўненыя, што жадаеце завяршыць гэтую здзелку?"
"Complete","поўны"
"View Transaction '%1'","Выгляд здзелкі «%1»"
"Affiliate Account","партнёрскі рахунак"
"Type","тып"
"Order","заказ"
"Created by","створана"
"This transaction will be holed to","Гэтая здзелка будзе прабоіна ў"
"Created Time","створана Час"
"Save and Approve","Захаваць і зацвердзіць"
"Save","захаваць"
"New Withdraw","Новая Выснова"
"Withdraw Information","выснова інфармацыі"
"Include fee.","Уключыце плату."
"Fee","плата"
"If empty, configuration value will be used.","Калі пуста, будзе выкарыстоўвацца значэнне канфігурацыі."
"Payment Method","Спосаб аплаты"
"Payment Detail","дэталь кампенсацыі"
"Withdraw","адклікаць"
"Edit Withdraw '%1'","Рэдагаваць Выснова «%1»"
"Transfer Amount","перадача Сума"
"Real amount will be transfer to affiliate.","Рэальная сума будзе перадача ў філіял."
"Affiliate Discount","партнёрская Зніжка"
"Please input your friends email address.","Калі ласка, увядзіце ваш адрас электроннай пошты сяброў."
"Saved successfully!","Захавана!"
"Something went wrong while saving the Account.","Нешта пайшло не так пры захаванні рахунку."
"Your account is not active. Please contact us.","Ваш уліковы запіс не актыўная. Калі ласка, звяжыцеся з намі."
"You have to agree with term and conditions.","Вы павінны пагадзіцца з тэрмінам і ўмовамі."
"Congratulations! You have successfully registered. We will review your affiliate account and inform you once it's approved!","Віншуем! Вы паспяхова зарэгістраваныя. Мы разгледзім ваш партнёрскі рахунак і паведаміць вам, як толькі ён зацверджаны!"
"Congratulations! You have successfully registered.","Віншуем! Вы паспяхова зарэгістраваныя."
"The withdraw has been canceled successfully.","Адклікаць быў паспяхова адменены."
"Something went wrong while saving the request.","Нешта пайшло не так пры захаванні запыту."
"Cannot find item.","Не ўдаецца знайсці пункт."
"An error occur. Please contact us.","Памылка адбываецца. Калі ласка, звяжыцеся з намі."
"Your request has been sent successfully. We will review your request and inform you once it's approved!","Ваш запыт быў паспяхова адпраўлены. Мы разгледзім ваш запыт і паведамім вам, як толькі гэта адобрана!"
"Your balance is not enough for request withdraw.","Ваш баланс не дастаткова для запыту сысці."
"The withdraw amount have to equal or greater than %1","Сума адклікаць павінна роўны або больш, чым %1"
"The withdraw amount have to equal or less than %1","Сума адклікаць павінна роўны або менш, чым %1"
"This account no longer exists.","Гэты конт не больш не існуе."
"The Account has been deleted.","Лік быў выдалены."
"Account to delete was not found.","Рахунак для выдалення не было знойдзена."
"Accounts","рахункі"
"Edit Account ""%1""","Змяніць уліковы запіс «%1»"
"A total of %1 record(s) have been deleted.","У агульнай складанасці %1 запісу (ёй), былі выдаленыя."
"The customer ""%1"" has registed as an affiliate already.","Кліент «%1» ужо зарэгістраваны, як ужо філіял."
"Cannot find account referred.","Не магу знайсці згадваецца."
"The Account has been created successfully.","Лік быў паспяхова створаны."
"The Account has been saved successfully.","Лік быў паспяхова захаваны."
"The Banner has been deleted.","Банер быў выдалены."
"Something went wrong while deleting banner data. Please review the action log and try again.","Нешта пайшло не так пры выдаленні дадзеных банэраў. Калі ласка, праглядзіце часопіс дзеянняў і паспрабуйце ізноў."
"We cannot find a banner to delete.","Мы не можам знайсці банер выдаліць."
"This banner no longer exists.","Гэты банэр ня больш не існуе."
"Banners","банеры"
"Edit Banner","рэдагаваць Банэр"
"This banner does not exist.","Гэты банер не існуе."
"You saved the banner.","Вы выратавалі сцяг."
"We cannot save the banner.","Мы не можам выратаваць сцяг."
"This campaign no longer exists.","Гэтая кампанія не больш не існуе."
"The Campaign has been deleted.","Кампанія была выдаленая."
"Campaign to delete was not found.","Кампанія, каб выдаліць не быў знойдзены."
"Campaigns","кампаніі"
"Please correct the data sent.","Калі ласка, выпраўце дадзеныя, адпраўленыя."
"Something went wrong while saving the Campaign.","Нешта пайшло не так пры захаванні кампаніі."
"The Campaign has been saved successfully.","Кампанія была паспяхова захавана."
"Tier","ярус"
"Groups","групы"
"Something went wrong while saving the Group.","Нешта пайшло не так пры захаванні групы."
"Cannot remove this group","Немагчыма выдаліць гэтую групу"
"The Group has been created successfully.","Група была паспяхова створана."
"The Transaction has been canceled.","Здзелка была адменена."
"The Transaction has been completed.","Здзелка была завершана."
"Transactions","аперацыі"
"View Transaction ""%1""","Прагляд транзакцый «%1»"
"This Transaction no longer exists.","Гэта не здрада больш не існуе."
"A total of %1 record(s) have been canceled.","У агульнай складанасці %1 запісу (ёй), былі адмененыя."
"A total of %1 record(s) have been completed.","У агульнай складанасці %1 запісу (ёй) былі завершаны."
"Account balance is not enough to create this transaction.","Баланс рахунку не дастаткова, каб стварыць гэтую здзелку."
"The Transaction has been created.","Здзелка была створана."
"Something went wrong while saving the Transaction.","Нешта пайшло не так пры захаванні Здзелкі."
"This withdrawal no longer exists.","Гэта не выснова больш не існуе."
"Withdraws","адклікала"
"Edit Withdraw ""%1""","Рэдагаваць Выснова «%1»"
"Edit Withdraw ""#%1""","Рэдагаваць Выснова «# %1»"
"A total of %1 record(s) have been approved successfully.","У агульнай складанасці %1 запісу (ёй), былі паспяхова апрабаваны."
"A total of %1 record(s) have been cancelled.","У агульнай складанасці %1 запісу (ёй), былі адмененыя."
"The Withdraw has been saved.","Вывад быў захаваны."
"Something went wrong while saving the Withdraw.","Нешта пайшло не так у той час як ратуючы Выснова."
"My Affiliate","мой Партнёрская"
"My Credit (%1)","Мой крэдыт (%1)"
"Active","актыўны"
"Inactive","неактыўны"
"Need Approved","неабходнасць Approved"
"Enabled","уключана"
"Disabled","інвалід"
"Percent of cart total","працэнт Кошык"
"Fixed amount discount for whole cart","Фіксаваная сума зніжкі на ўсю кошык"
"Allow Guest","дазволіць Госць"
"Affiliate Member Only","Партнёрскі член толькі"
"-- Please Select --","- Выберыце -"
"Category page","катэгорыя старонкі"
"Product page","старонка прадукту"
"Footer Link","Footer Спасылка"
"Top Link","верхняе звяно"
"Affiliate ID","партнёрская ID"
"Affiliate Code","партнёрскі код"
"Hash","гашыш"
"Parameter","параметр"
"Address","адрас"
"Paypal Email","Paypal Email"
"Transaction Id","Id здзелкі"
"Affiliate Campaign","партнёрская кампанія"
"Campaign %1","кампанія %1"
"Affiliate account must be existed.","Партнёрскі рахунак павінен быць існаваў."
"Transaction amount cannot be zero.","Сума ўгоды не можа быць роўны нулю."
"Account balance has been reached the limit. Please contact to store owner.","Баланс рахунку быў дасягнуты мяжа. Калі ласка, звярніцеся да ўладальніка крамы."
"Invalid transaction data for canceling.","Несапраўдныя дадзеныя транзакцыі для адмены."
"Account balance is not enough for canceling.","Баланс рахунку недастаткова для адмены."
"Invalid transaction data to complete.","Няслушныя дадзеныя транзакцый для завяршэння."
"Maximum amount allowed in account balance is %1.","Максімальная сума балансу асабовага рахунку з'яўляецца %1."
"Action model is invalid for %1","Дзеянне мадэль з'яўляецца недапушчальнай для %1"
"Changed by Admin","Зменена: Admin"
"Get commission for order %1","Атрымаць камісію для таго, %1"
"Taken back commission for refunding order %1","Узятыя назад камісію для таго, рэфінансаванню %1"
"Subtract balance for withdraw request","Адняць баланс вывесці запыт"
"On Hold","адкладзена"
"Completed","завершаны"
"Cancelled","адменены"
"Commission","камісія"
"Paid","аплачаны"
"Admin","адміністратар"
"The amount request is not enough to pay for fee.","Запыт сумы не дастаткова, каб заплаціць за плату."
"Cannot create transaction for this withdraw.","Немагчыма стварыць транзакцыю для гэтага сысці."
