"Affiliate Banners","Banners d'afiliats"
"My Credit","El meu crèdit"
"Available Balance","Saldo disponible"
"Holding Balance","Equilibri de la celebració"
"Total Earned","Total guanyat"
"Total Paid","Total pagat"
"Refer friends","Consulta els amics"
"Affiliate Setting","Configuració de l'afiliat"
"Signup Affiliate","Registre d'afiliats"
"My Withdrawal","La meva retirada"
"You can request withdraw when your balance equal or greater than %1","Podeu sol·licitar retirar quan el saldo sigui igual o superior a %1"
"You can withdraw a minimum %1","Podeu retirar un mínim de %1"
"You can withdraw a maximum %1","Podeu retirar un màxim de %1"
"Save Account","Desa el compte"
"Cancel","Cancel · lar"
"New Account","Nou compte"
"Please select a customer","Seleccioneu un client"
"Account Information","Informació del compte"
"Customer","Client"
"Affiliate Group","Grup d'afiliats"
"Referred By","Referit per"
"Affiliate account Id","Identificador del compte d'afiliats"
"Status","Estat"
"Email Notification","Notificació per correu electrònic"
"Account","Compte"
"Save and Continue Edit","Desa i continua Edita"
"Edit Account '%1'","Edita el compte '%1'"
"Balance","Equilibri"
"Referral Code","Codi de Referència"
"Save Banner","Desa la pancarta"
"Edit Banner ""%1""","Edita el bàner ""%1"""
"New Banner","Nova pancarta"
"Banner Information","Informació de la pancarta"
"Title","Títol"
"Content","Contingut"
"Url","Url"
"If empty, home page will be used.","Si està buit, s'utilitzarà la pàgina d'inici."
"Related Campaign","Campanya relacionada"
"Only affiliates who are in above campaign can see this banner.","Només els afiliats que es troben a la campanya anteriors poden veure aquesta pancarta."
"Rel Nofollow","Rel Nofollow"
"Put the rel=""nofollow"" attribute on the link.","Posi l'atribut rel = ""nofollow"" a l'enllaç."
"Save Campaign","Desa la campanya"
"Edit Campaign ""%1""","Edició de la campanya ""%1"""
"New Campaign","Nova campanya"
"Campaign Information","Informació sobre la campanya"
"Name","Nom"
"Description","Descripció"
"Website IDs","Identificacions del lloc web"
"Affiliate Groups","Grups d'afiliats"
"Display","Mostra"
"Active From Date","Actiu des de la data"
"Active To Date","Actiu a la data"
"Sort Order","Ordre de classificació"
"Pay Per Sale","Pagament per venda"
"Add Commission Type and Value","Afegiu el tipus i el valor de la comanda"
"Commissions","Comissions"
"Percentage of grand total","Percentatge del total total"
"Fixed amount","Quantia fixa"
"Apply the rule only if the following conditions are met (leave blank for all products)","Apliqueu la regla només si es compleixen les condicions següents (deixar en blanc per a tots els productes)"
"Condition","Condició"
"Conditions","Condicions"
"Discounts","Descomptes"
"Discount","Descompte"
"Apply","Apply"
"Discount Amount","Quantitat de descompte"
"Apply to Shipping Amount","Sol·liciteu el monto de l'enviament"
"Discount Description","Descripció del descompte"
"Save Group","Desa el grup"
"New Group","Nou grup"
"Group Information","Informació del grup"
"Group","Grup"
"label","Etiqueta"
"Reset banner traffic","Restablir el trànsit de l'anunci"
"Save Transaction","Desa la transacció"
"New Transaction","Nova transacció"
"Please select an affiliate account","Seleccioneu un compte d'afiliat"
"Transaction Information","Informació de transaccions"
"Amount","Import"
"Add or subtract affiliate's balance. E.g: 99 or -99","Afegiu o resteu el saldo de l'afiliat. Per exemple: 99 o -99"
"Holding Transaction For","Transacció per a la celebració"
"Transaction","Transacció"
"Are you sure you want to cancel this transaction?","Estàs segur que vols cancel·lar aquesta transacció?"
"Are you sure you want to complete this transaction?","Esteu segur que voleu completar aquesta transacció?"
"Complete","Complet"
"View Transaction '%1'","Mostra la transacció ""%1"""
"Affiliate Account","Compte d'afiliats"
"Type","Escriviu"
"Order","Ordre"
"Created by","Creat per"
"This transaction will be holed to","Aquesta transacció serà sincera"
"Created Time","Hora creada"
"Save and Approve","Desa i accepta"
"Save","Desa"
"New Withdraw","Nova retirada"
"Withdraw Information","Retira la informació"
"Include fee.","Inclou tarifa."
"Fee","Tarifa"
"If empty, configuration value will be used.","Si està buit, s'utilitzarà el valor de configuració."
"Payment Method","Mètode de pagament"
"Payment Detail","Detall de pagament"
"Withdraw","Retirar"
"Edit Withdraw '%1'","Edició Retirada '%1'"
"Transfer Amount","Import de transferència"
"Real amount will be transfer to affiliate.","L'import real serà la transferència a l'afiliat."
"Affiliate Discount","Descompte d'afiliat"
"Please input your friends email address.","Introduïu l'adreça de correu electrònic dels vostres amics."
"Saved successfully!","S'ha desat correctament."
"Something went wrong while saving the Account.","S'ha produït un error en desar el compte."
"Your account is not active. Please contact us.","El vostre compte no està actiu. Poseu-vos en contacte amb nosaltres."
"You have to agree with term and conditions.","Heu d'acceptar el terme i les condicions."
"Congratulations! You have successfully registered. We will review your affiliate account and inform you once it's approved!","Felicitacions Has registrat correctament. Revisarem el vostre compte d'afiliat i l'informarem una vegada que estigui aprovat."
"Congratulations! You have successfully registered.","Felicitacions Has registrat correctament."
"The withdraw has been canceled successfully.","La retirada s'ha cancel·lat correctament."
"Something went wrong while saving the request.","S'ha produït un error en desar la sol·licitud."
"Cannot find item.","No es pot trobar l'ítem."
"An error occur. Please contact us.","S'ha produït un error. Poseu-vos en contacte amb nosaltres."
"Your request has been sent successfully. We will review your request and inform you once it's approved!","La vostra sol·licitud s'ha enviat correctament. Revisarem la seva sol·licitud i l'informarem una vegada que estigui aprovat."
"Your balance is not enough for request withdraw.","El vostre saldo no és suficient per retirar la sol·licitud."
"The withdraw amount have to equal or greater than %1","La quantitat de retirada ha de ser igual o superior a %1"
"The withdraw amount have to equal or less than %1","L'import de retirada ha de ser igual o inferior a %1"
"This account no longer exists.","Aquest compte ja no existeix."
"The Account has been deleted.","S'ha eliminat el compte."
"Account to delete was not found.","El compte per esborrar no s'ha trobat."
"Accounts","Comptes"
"Edit Account ""%1""","Edita el compte ""%1"""
"A total of %1 record(s) have been deleted.","S'han eliminat un total de %1 registres."
"The customer ""%1"" has registed as an affiliate already.","El client ""%1"" ja s'ha registrat com a afiliat."
"Cannot find account referred.","No es pot trobar el compte referit."
"The Account has been created successfully.","El compte s'ha creat correctament."
"The Account has been saved successfully.","El compte s'ha desat correctament."
"The Banner has been deleted.","S'ha suprimit el Bàner."
"Something went wrong while deleting banner data. Please review the action log and try again.","S'ha produït un error en eliminar les dades del bàner. Reviseu el registre d'accions i torneu-ho a provar."
"We cannot find a banner to delete.","No podem trobar un pancarta per esborrar."
"This banner no longer exists.","Aquest pancarta ja no existeix."
"Banners","Banners"
"Edit Banner","Edita el bàner"
"This banner does not exist.","Aquest pancarta no existeix."
"You saved the banner.","Heu desat la bandera."
"We cannot save the banner.","No podem desar el bàner."
"This campaign no longer exists.","Aquesta campanya ja no existeix."
"The Campaign has been deleted.","S'ha eliminat la campanya."
"Campaign to delete was not found.","No s'ha trobat la campanya per esborrar."
"Campaigns","Campanyes"
"Please correct the data sent.","Corregiu les dades enviades."
"Something went wrong while saving the Campaign.","S'ha produït un error en desar la campanya."
"The Campaign has been saved successfully.","La campanya s'ha desat correctament."
"Tier","Nivell"
"Groups","Grups"
"Something went wrong while saving the Group.","S'ha produït un error al guardar el grup."
"Cannot remove this group","No es pot eliminar aquest grup"
"The Group has been created successfully.","El grup s'ha creat correctament."
"The Transaction has been canceled.","S'ha cancel·lat la transacció."
"The Transaction has been completed.","S'ha completat la transacció."
"Transactions","Transaccions"
"View Transaction ""%1""","Mostra la transacció ""%1"""
"This Transaction no longer exists.","Aquesta transacció ja no existeix."
"A total of %1 record(s) have been canceled.","S'han cancel·lat un total de %1 registres."
"A total of %1 record(s) have been completed.","S'han completat un total de %1 registres."
"Account balance is not enough to create this transaction.","El saldo del compte no és suficient per crear aquesta transacció."
"The Transaction has been created.","S'ha creat la transacció."
"Something went wrong while saving the Transaction.","S'ha produït un error al guardar la transacció."
"This withdrawal no longer exists.","Aquesta retirada ja no existeix."
"Withdraws","Retirs"
"Edit Withdraw ""%1""","Edició Retirada ""%1"""
"Edit Withdraw ""#%1""","Edició Retirada ""# %1"""
"A total of %1 record(s) have been approved successfully.","Un total de %1 registres s'han aprovat correctament."
"A total of %1 record(s) have been cancelled.","S'han cancel·lat un total de %1 registres."
"The Withdraw has been saved.","S'ha desat la retirada."
"Something went wrong while saving the Withdraw.","S'ha produït un error en desar la retirada."
"My Affiliate","El meu afiliat"
"My Credit (%1)","El meu crèdit (%1)"
"Active","Actiu"
"Inactive","Inactiu"
"Need Approved","Necessita aprovar"
"Enabled","Habilitat"
"Disabled","S'ha desactivat"
"Percent of cart total","Percentatge del total del carro"
"Fixed amount discount for whole cart","Descompte de la quantitat fixa per al carro sencer"
"Allow Guest","Permet convidar"
"Affiliate Member Only","Només membre d'afiliat"
"-- Please Select --","- Seleccioneu -"
"Category page","Pàgina de categoria"
"Product page","Pàgina del producte"
"Footer Link","Enllaç del peu de pàgina"
"Top Link","Enllaç superior"
"Affiliate ID","Identificador d'afiliat"
"Affiliate Code","Codi d'afiliat"
"Hash","Hash"
"Parameter","Paràmetre"
"Address","adreça"
"Paypal Email","Correu electrònic de PayPal"
"Transaction Id","Identificador de la transacció"
"Affiliate Campaign","Campaña d'afiliats"
"Campaign %1","Campanya %1"
"Affiliate account must be existed.","El compte d'afiliat ha d'existir."
"Transaction amount cannot be zero.","L'import de la transacció no pot ser zero."
"Account balance has been reached the limit. Please contact to store owner.","S'ha arribat al límit del saldo del compte. Poseu-vos en contacte amb el propietari de la botiga."
"Invalid transaction data for canceling.","Dades de transacció no vàlides per cancel·lar."
"Account balance is not enough for canceling.","El saldo del compte no és suficient per cancel·lar."
"Invalid transaction data to complete.","Dades de transacció no vàlides per completar."
"Maximum amount allowed in account balance is %1.","La quantitat màxima permesa al saldo del compte és %1."
"Action model is invalid for %1","El model d'acció no és vàlid per %1"
"Changed by Admin","Canviat per Admin"
"Get commission for order %1","Obtén comissions per a la comanda %1"
"Taken back commission for refunding order %1","Composició reembossada per l'ordre de reembossament %1"
"Subtract balance for withdraw request","Resta l'equilibri per sol·licitar la retirada"
"On Hold","En espera"
"Completed","Finalitzat"
"Cancelled","Cancel·lat"
"Commission","Comissió"
"Paid","Pagat"
"Admin","Admin"
"The amount request is not enough to pay for fee.","La sol·licitud de quantitat no és suficient per pagar la tarifa."
"Cannot create transaction for this withdraw.","No es pot crear la transacció per a aquesta retirada."
"Invalid withdraw data for canceling.","Les dades de retirada no són vàlides per cancel·lar."
"Invalid withdraw data for approved.","Les dades de retirar no són vàlids per aprovar."
"Pending","Pendents"
"The Account has been saved.","S'ha desat el compte."
"Affiliate Welcome homepage content","Afiliació de contingut de la pàgina d'inici de benvinguda"
"Affiliate referfriend description","Descripció de l'afiliat a la referència"
"Affiliate terms & conditions","Termes i condicions de l'afiliat"
"Delete ""%1""","Suprimeix ""%1"""
"Are you sure?","Estàs segur?"
"Type (1st Order)","Tipus (1a ordre)"
"Value (1st Order)","Valor (1a ordre)"
"Type (Next orders)","Tipus (comandes a continuació)"
"Value (Next orders)","Valor (comandes següents)"
"Action","Acció"
"Add","Afegeix"
"Delete","Suprimeix"
"No","No"
