"Affiliate Banners","Partnerské bannery"
"My Credit","Můj kredit"
"Available Balance","Dostupná částka"
"Holding Balance","Holding Balance"
"Total Earned","Celkem získaných"
"Total Paid","Celkem zaplaceno"
"Refer friends","Přátelé"
"Affiliate Setting","Nastavení affiliate"
"Signup Affiliate","Přihlaste se k odběru"
"My Withdrawal","Moje stažení"
"You can request withdraw when your balance equal or greater than %1","Můžete požádat o zrušení, když je zůstatek rovný nebo větší než %1"
"You can withdraw a minimum %1","Můžete odebrat minimálně %1"
"You can withdraw a maximum %1","Můžete odebrat maximálně %1"
"Save Account","Uložit účet"
"Cancel","zrušení"
"New Account","Nový účet"
"Please select a customer","Vyberte zákazníka"
"Account Information","Informace o účtu"
"Customer","Zákazník"
"Affiliate Group","Partnerská skupina"
"Referred By","Odesláno"
"Affiliate account Id","ID dárkového účtu"
"Status","Postavení"
"Email Notification","E-mailové oznámení"
"Account","Účet"
"Save and Continue Edit","Uložit a pokračovat v úpravě"
"Edit Account '%1'","Upravit účet '%1'"
"Balance","Zůstatek"
"Referral Code","Referační kód"
"Save Banner","Uložit banner"
"Edit Banner ""%1""","Upravit banner ""%1"""
"New Banner","Nový banner"
"Banner Information","Informace o banneru"
"Title","Titul"
"Content","Obsah"
"Url","Url"
"If empty, home page will be used.","Pokud je prázdná, použije se domovská stránka."
"Related Campaign","Související kampaň"
"Only affiliates who are in above campaign can see this banner.","Pouze partneři, kteří jsou ve výše uvedené kampani, mohou vidět tento banner."
"Rel Nofollow","Rel Nofollow"
"Put the rel=""nofollow"" attribute on the link.","Do odkazu vložte atribut rel = ""nofollow""."
"Save Campaign","Uložit kampaň"
"Edit Campaign ""%1""","Upravit kampaň ""%1"""
"New Campaign","Nová kampaň"
"Campaign Information","Informace o kampani"
"Name","název"
"Description","Popis"
"Website IDs","ID stránek"
"Affiliate Groups","Partnerské skupiny"
"Display","Zobrazit"
"Active From Date","Aktivní od data"
"Active To Date","Aktivní k datu"
"Sort Order","Řazení pořadí"
"Pay Per Sale","Zaplať za prodej"
"Add Commission Type and Value","Přidat typ a hodnotu komise"
"Commissions","Komise"
"Percentage of grand total","Procento celkového součtu"
"Fixed amount","Pevná částka"
"Apply the rule only if the following conditions are met (leave blank for all products)","Použijte pravidlo pouze v případě, že jsou splněny následující podmínky (ponechte prázdné pro všechny produkty)"
"Condition","Stav"
"Conditions","Podmínky"
"Discounts","Slevy"
"Discount","Sleva"
"Apply","Aplikovat"
"Discount Amount","Výše slevy"
"Apply to Shipping Amount","Použijte částku pro přepravu"
"Discount Description","Popis slevy"
"Save Group","Uložit skupinu"
"New Group","Nová skupina"
"Group Information","Informace o skupině"
"Group","Skupina"
"label","označení"
"Reset banner traffic","Obnovit provoz bannerů"
"Save Transaction","Uložit transakci"
"New Transaction","Nová transakce"
"Please select an affiliate account","Vyberte affiliate účet"
"Transaction Information","Informace o transakcích"
"Amount","Množství"
"Add or subtract affiliate's balance. E.g: 99 or -99","Přidejte nebo odečtete zůstatek affiliate. Např .: 99 nebo -99"
"Holding Transaction For","Holding transakce pro"
"Transaction","Transakce"
"Are you sure you want to cancel this transaction?","Opravdu chcete tuto transakci zrušit?"
"Are you sure you want to complete this transaction?","Opravdu chcete tuto transakci dokončit?"
"Complete","Kompletní"
"View Transaction '%1'","Zobrazit transakci '%1'"
"Affiliate Account","Affiliate účet"
"Type","Typ"
"Order","Objednat"
"Created by","Vytvořil"
"This transaction will be holed to","Tato transakce bude provedena"
"Created Time","Vytvořený čas"
"Save and Approve","Uložit a schválit"
"Save","Uložit"
"New Withdraw","Nové stažení"
"Withdraw Information","Stahujte informace"
"Include fee.","Zahrnout poplatek."
"Fee","Poplatek"
"If empty, configuration value will be used.","Pokud je prázdná, použije se konfigurační hodnota."
"Payment Method","Způsob platby"
"Payment Detail","Detail platby"
"Withdraw","Stahujte"
"Edit Withdraw '%1'","Upravit vzít '%1'"
"Transfer Amount","Částka převodu"
"Real amount will be transfer to affiliate.","Skutečná částka bude převedena do affiliate."
"Affiliate Discount","Affiliate Sleva"
"Please input your friends email address.","Zadejte prosím e-mailovou adresu svých přátel."
"Saved successfully!","Úspěšně uloženo!"
"Something went wrong while saving the Account.","Při ukládání účtu došlo k chybě."
"Your account is not active. Please contact us.","Váš účet není aktivní. Prosím kontaktujte nás."
"You have to agree with term and conditions.","Musíte souhlasit s termínem a podmínkami."
"Congratulations! You have successfully registered. We will review your affiliate account and inform you once it's approved!","Gratulace! Úspěšně jste se zaregistrovali. Váš affiliate účet přezkoumáme a budeme vás informovat, jakmile bude schválen!"
"Congratulations! You have successfully registered.","Gratulace! Úspěšně jste se zaregistrovali."
"The withdraw has been canceled successfully.","Odvolání bylo úspěšně zrušeno."
"Something went wrong while saving the request.","Při ukládání požadavku došlo k chybě."
"Cannot find item.","Nelze najít položku."
"An error occur. Please contact us.","Došlo k chybě. Prosím kontaktujte nás."
"Your request has been sent successfully. We will review your request and inform you once it's approved!","Vaše žádost byla úspěšně odeslána. Váš požadavek zkontrolujeme a po jeho schválení vás budeme informovat!"
"Your balance is not enough for request withdraw.","Váš zůstatek nestačí k odvolání žádosti."
"The withdraw amount have to equal or greater than %1","Výše odebrání musí být rovné nebo větší než %1"
"The withdraw amount have to equal or less than %1","Výše odebrání musí být rovné nebo nižší než %1"
"This account no longer exists.","Tento účet již neexistuje."
"The Account has been deleted.","Účet byl smazán."
"Account to delete was not found.","Účet k odstranění nebyl nalezen."
"Accounts","Účty"
"Edit Account ""%1""","Upravit účet ""%1"""
"A total of %1 record(s) have been deleted.","Celkem bylo odstraněno celkem záznamů %1."
"The customer ""%1"" has registed as an affiliate already.","Zákazník ""%1"" se již zaregistroval jako přidružený subjekt."
"Cannot find account referred.","Nelze najít účet."
"The Account has been created successfully.","Účet byl úspěšně vytvořen."
"The Account has been saved successfully.","Účet byl úspěšně uložen."
"The Banner has been deleted.","Banner byl smazán."
"Something went wrong while deleting banner data. Please review the action log and try again.","Při odstraňování bannerových údajů došlo k chybě. Projděte si protokol o akci a zkuste to znovu."
"We cannot find a banner to delete.","Nemůžeme najít banner, který je třeba smazat."
"This banner no longer exists.","Tento banner již neexistuje."
"Banners","Bannery"
"Edit Banner","Upravit banner"
"This banner does not exist.","Tento banner neexistuje."
"You saved the banner.","Uložil jste banner."
"We cannot save the banner.","Banner nelze uložit."
"This campaign no longer exists.","Tato kampaň již neexistuje."
"The Campaign has been deleted.","Kampaň byla smazána."
"Campaign to delete was not found.","Kampaň k odstranění nebyla nalezena."
"Campaigns","Kampaně"
"Please correct the data sent.","Opravte prosím odeslaná data."
"Something went wrong while saving the Campaign.","Při ukládání kampaně došlo k chybě."
"The Campaign has been saved successfully.","Kampaň byla úspěšně uložena."
"Tier","Tier"
"Groups","Skupiny"
"Something went wrong while saving the Group.","Při ukládání skupiny se něco pokazilo."
"Cannot remove this group","Tuto skupinu nelze odstranit"
"The Group has been created successfully.","Skupina byla úspěšně vytvořena."
