"Affiliate Banners","Affiliate Banner"
"My Credit","Mein Kredit"
"Available Balance","Verfügbares Guthaben"
"Holding Balance","Holding Gleichgewicht"
"Total Earned","insgesamt verdient"
"Total Paid","Ganz bezahlt"
"Refer friends","Freunde befreien"
"Affiliate Setting","Affiliate Einstellung"
"Signup Affiliate","Registrieren Affiliate"
"My Withdrawal","Mein Rückzug"
"You can request withdraw when your balance equal or greater than %1","Sie können anfordern, wenn Ihr Guthaben gleich oder größer als %1 ist"
"You can withdraw a minimum %1","Sie können ein Minimum %1 zurückziehen"
"You can withdraw a maximum %1","Sie können maximal %1 abheben"
"Save Account","Konto speichern"
"Cancel","Stornieren"
"New Account","Neues Konto"
"Please select a customer","Bitte wählen Sie einen Kunden aus"
"Account Information","Kontoinformationen"
"Customer","Kunde"
"Affiliate Group","Affiliate Group"
"Referred By","Bezug auf"
"Affiliate account Id","Affiliate-Konto-ID"
"Status","Status"
"Email Notification","Email Benachrichtigung"
"Account","Konto"
"Save and Continue Edit","Speichern und weiter bearbeiten"
"Edit Account '%1'","Konto bearbeiten '%1'"
"Balance","Balance"
"Referral Code","Referenzcode"
"Save Banner","Banner speichern"
"Edit Banner ""%1""","Banner bearbeiten ""%1"""
"New Banner","Neues Banner"
"Banner Information","Bannerinformationen"
"Title","Titel"
"Content","Inhalt"
"Url","Url"
"If empty, home page will be used.","Wenn leer, wird die Homepage verwendet."
"Related Campaign","Ähnliche Kampagne"
"Only affiliates who are in above campaign can see this banner.","Nur Mitgliedsorganisationen, die sich in der Kampagne befinden, können diesen Banner sehen."
"Rel Nofollow","Rel Nofollow"
"Put the rel=""nofollow"" attribute on the link.","Setzen Sie das Attribut rel = ""nofollow"" auf den Link."
"Save Campaign","Kampagne speichern"
"Edit Campaign ""%1""","Kampagne bearbeiten ""%1"""
"New Campaign","Neue Kampagne"
"Campaign Information","Kampagneninformationen"
"Name","Name"
"Description","Beschreibung"
"Website IDs","Website-IDs"
"Affiliate Groups","Affiliate-Gruppen"
"Display","Anzeigen"
"Active From Date","Aktiv ab Datum"
"Active To Date","Aktiv bis Datum"
"Sort Order","Sortierreihenfolge"
"Pay Per Sale","Bezahlung per Verkauf"
"Add Commission Type and Value","Hinzufügen von Kommissionsart und -wert"
"Commissions","Kommissionen"
"Percentage of grand total","Prozentsatz der Gesamtsumme"
"Fixed amount","Fester Betrag"
"Apply the rule only if the following conditions are met (leave blank for all products)","Wenden Sie die Regel nur an, wenn die folgenden Bedingungen erfüllt sind (Leerzeichen für alle Produkte)"
"Condition","Bedingung"
"Conditions","Bedingungen"
"Discounts","Ermäßigungen"
"Discount","Rabatt"
"Apply","Sich bewerben"
"Discount Amount","Rabattbetrag"
"Apply to Shipping Amount","Auf Versandmenge anwenden"
"Discount Description","Rabatt Beschreibung"
"Save Group","Gruppe speichern"
"New Group","Neue Gruppe"
"Group Information","Gruppeninformationen"
"Group","Gruppe"
"label","Etikette"
"Reset banner traffic","Bannerverkehr zurücksetzen"
"Save Transaction","Sichern Sie die Transaktion"
"New Transaction","Neue Transaktion"
"Please select an affiliate account","Bitte wählen Sie ein Affiliate-Konto"
"Transaction Information","Transaktionsinformationen"
"Amount","Menge"
"Add or subtract affiliate's balance. E.g: 99 or -99","Addieren oder subtrahieren Sie das Gleichgewicht der Teilnehmer. ZB: 99 oder -99"
"Holding Transaction For","Holding-Transaktion für"
"Transaction","Transaktion"
"Are you sure you want to cancel this transaction?","Sind Sie sicher, dass Sie diese Transaktion abbrechen möchten?"
