"Affiliate Banners","Συνεργάτες"
"My Credit","Η πίστωσή μου"
"Available Balance","διαθέσιμο υπόλοιπο"
"Holding Balance","Κρατώντας Υπόλοιπο"
"Total Earned","Σύνολο κερδισμένων"
"Total Paid","Συνολικά πληρωμένα"
"Refer friends","Ανατρέξτε σε φίλους"
"Affiliate Setting","Ρύθμιση θυγατρικών"
"Signup Affiliate","Εγγραφή θυγατρικών"
"My Withdrawal","Η απόσυρσή μου"
"You can request withdraw when your balance equal or greater than %1","Μπορείτε να ζητήσετε ανάληψη όταν το υπόλοιπό σας είναι ίσο ή μεγαλύτερο από %1"
"You can withdraw a minimum %1","Μπορείτε να αποσύρετε ένα ελάχιστο %1"
"You can withdraw a maximum %1","Μπορείτε να αποσύρετε το μέγιστο %1"
"Save Account","Αποθήκευση λογαριασμού"
"Cancel","Ματαίωση"
"New Account","Νέος λογαριασμός"
"Please select a customer","Επιλέξτε έναν πελάτη"
"Account Information","Πληροφορίες λογαριασμού"
"Customer","Πελάτης"
"Affiliate Group","Ομάδα συνεργατών"
"Referred By","Παραπέμποντας από"
"Affiliate account Id","Κωδ"
"Status","Κατάσταση"
"Email Notification","Ειδοποίηση ηλεκτρονικού ταχυδρομείου"
"Account","Λογαριασμός"
"Save and Continue Edit","Αποθηκεύστε και συνεχίστε την επεξεργασία"
"Edit Account '%1'","Επεξεργασία λογαριασμού '%1'"
"Balance","Ισορροπία"
"Referral Code","Κωδικός παραπομπής"
"Save Banner","Αποθήκευση διαφήμισης"
"Edit Banner ""%1""","Επεξεργασία Banner ""%1"""
"New Banner","Νέο Banner"
"Banner Information","Πληροφορίες για το banner"
"Title","Τίτλος"
"Content","Περιεχόμενο"
"Url","Url"
"If empty, home page will be used.","Εάν είναι κενή, θα χρησιμοποιηθεί η αρχική σελίδα."
"Related Campaign","Σχετική καμπάνια"
"Only affiliates who are in above campaign can see this banner.","Μόνο οι συνεργάτες που βρίσκονται στην παραπάνω καμπάνια μπορούν να δουν αυτό το banner."
"Rel Nofollow","Rel Nofollow"
"Put the rel=""nofollow"" attribute on the link.","Τοποθετήστε το χαρακτηριστικό rel = ""nofollow"" στη σύνδεση."
"Save Campaign","Αποθήκευση καμπάνιας"
"Edit Campaign ""%1""","Επεξεργασία καμπάνιας ""%1"""
"New Campaign","Νέα καμπάνια"
"Campaign Information","Πληροφορίες για την καμπάνια"
"Name","Ονομα"
"Description","Περιγραφή"
"Website IDs","Αναγνωριστικά ιστότοπων"
"Affiliate Groups","Συγγενείς Ομάδες"
"Display","Απεικόνιση"
"Active From Date","Ενεργός από την ημερομηνία"
"Active To Date","Ενεργή στην ημερομηνία"
"Sort Order","Σειρά ταξινόμησης"
"Pay Per Sale","Πληρώστε ανά πώληση"
"Add Commission Type and Value","Προσθέστε τύπο και αξία της Επιτροπής"
"Commissions","Επιτροπές"
"Percentage of grand total","Ποσοστό συνολικού συνόλου"
"Fixed amount","Προκαθορισμένο ποσό"
