"Affiliate Banners","Banners de afiliados"
"My Credit","Mi crédito"
"Available Balance","Saldo disponible"
"Holding Balance","Balance de mantenimiento"
"Total Earned","Total de Ganancias"
"Total Paid","Total pagado"
"Refer friends","Referir amigos"
"Affiliate Setting","Configuración del afiliado"
"Signup Affiliate","Registrarse Afiliado"
"My Withdrawal","Mi retiro"
"You can request withdraw when your balance equal or greater than %1","Puede pedir que se retire cuando su saldo sea igual o mayor que %1"
"You can withdraw a minimum %1","Puede retirar un mínimo de %1"
"You can withdraw a maximum %1","Puede retirar un máximo de %1"
"Save Account","Guardar cuenta"
"Cancel","Cancelar"
"New Account","Nueva cuenta"
"Please select a customer","Seleccione un cliente"
"Account Information","Información de la cuenta"
"Customer","Cliente"
"Affiliate Group","Grupo de Afiliados"
"Referred By","Referido por"
"Affiliate account Id","ID de cuenta de afiliado"
"Status","Estado"
"Email Notification","Notificación de correo electrónico"
"Account","Cuenta"
"Save and Continue Edit","Guardar y continuar Editar"
"Edit Account '%1'","Editar cuenta '%1'"
"Balance","Equilibrar"
"Referral Code","código de referencia"
"Save Banner","Guardar Banner"
"Edit Banner ""%1""","Editar Banner ""%1"""
"New Banner","Nueva pancarta"
"Banner Information","Información de la bandera"
"Title","Título"
"Content","Contenido"
"Url","Url"
"If empty, home page will be used.","Si está vacía, se utilizará la página principal."
"Related Campaign","Campaña relacionada"
"Only affiliates who are in above campaign can see this banner.","Sólo los afiliados que están en la campaña anterior pueden ver este banner."
"Rel Nofollow","Rel Nofollow"
"Put the rel=""nofollow"" attribute on the link.","Ponga el atributo rel = ""nofollow"" en el enlace."
"Save Campaign","Guardar Campaña"
"Edit Campaign ""%1""","Editar Campaña ""%1"""
"New Campaign","Nueva campaña"
"Campaign Information","Información de la campaña"
"Name","Nombre"
"Description","Descripción"
"Website IDs","ID de sitios web"
"Affiliate Groups","Grupos de afiliados"
"Display","Monitor"
"Active From Date","Activo desde la fecha"
"Active To Date","Activo hasta la fecha"
"Sort Order","Orden de Clasificación"
"Pay Per Sale","Pago por Venta"
"Add Commission Type and Value","Añadir tipo de Comisión y valor"
"Commissions","Comisiones"
"Percentage of grand total","Porcentaje del total general"
