"Affiliate Banners","Banner affiliati"
"My Credit","Il mio credito"
"Available Balance","saldo disponibile"
"Holding Balance","Holding Balance"
"Total Earned","Totale guadagnato"
"Total Paid","Totale pagato"
"Refer friends","Riferisci agli amici"
"Affiliate Setting","Impostazione di affiliazione"
"Signup Affiliate","Iscriviti affiliato"
"My Withdrawal","Il mio ritiro"
"You can request withdraw when your balance equal or greater than %1","Puoi richiedere il ritiro quando il saldo è pari o superiore a %1"
"You can withdraw a minimum %1","È possibile ritirare un minimo di %1"
"You can withdraw a maximum %1","Puoi ritirare un massimo di %1"
"Save Account","Salva l'account"
"Cancel","Annulla"
"New Account","Nuovo account"
"Please select a customer","Seleziona un cliente"
"Account Information","Informazioni account"
"Customer","Cliente"
"Affiliate Group","Gruppo di affiliazione"
"Referred By","Riferito da"
"Affiliate account Id","Account di affiliazione Id"
"Status","Stato"
"Email Notification","notifica per email"
"Account","account"
"Save and Continue Edit","Salva e continua la modifica"
"Edit Account '%1'","Modifica account '%1'"
"Balance","Equilibrio"
"Referral Code","Codice di rinvio"
"Save Banner","Salva banner"
"Edit Banner ""%1""","Modifica banner ""%1"""
"New Banner","Nuovo banner"
"Banner Information","Banner Information"
"Title","Titolo"
"Content","Soddisfare"
"Url","url"
"If empty, home page will be used.","Se vuota, verrà utilizzata la home page."
"Related Campaign","Campagna correlata"
"Only affiliates who are in above campaign can see this banner.","Solo gli affiliati che si trovano nella campagna di cui sopra possono vedere questo banner."
"Rel Nofollow","Rel Nofollow"
"Put the rel=""nofollow"" attribute on the link.","Inserisci l'attributo rel = ""nofollow"" sul link."
"Save Campaign","Salva campagna"
"Edit Campaign ""%1""","Modifica campagna ""%1"""
"New Campaign","Nuova campagna"
"Campaign Information","Informazioni sulla campagna"
"Name","Nome"
"Description","Descrizione"
"Website IDs","ID di sito web"
"Affiliate Groups","Gruppi affiliati"
"Display","Display"
"Active From Date","Attivo dalla data"
"Active To Date","Attivo fino a data"
"Sort Order","Ordinamento"
"Pay Per Sale","Pay Per Sale"
"Add Commission Type and Value","Aggiungere il tipo e il valore della Commissione"
"Commissions","commissioni"
"Percentage of grand total","Percentuale di grand total"
"Fixed amount","Importo fisso"
"Apply the rule only if the following conditions are met (leave blank for all products)","Applicare la regola solo se sono soddisfatte le seguenti condizioni (lasciare vuoto per tutti i prodotti)"
"Condition","Condizione"
"Conditions","condizioni"
"Discounts","sconti"
"Discount","Sconto"
"Apply","Applicare"
"Discount Amount","Totale sconto"
"Apply to Shipping Amount","Applica all'importo di spedizione"
"Discount Description","Descrizione del sconto"
"Save Group","Salva gruppo"
"New Group","Nuovo gruppo"
"Group Information","Informazioni sul gruppo"
"Group","Gruppo"
"label","etichetta"
"Reset banner traffic","Azzerare il traffico banner"
"Save Transaction","Salva la transazione"
"New Transaction","Nuova transazione"
"Please select an affiliate account","Seleziona un conto affiliato"
"Transaction Information","Informazioni sulle transazioni"
"Amount","Quantità"
"Add or subtract affiliate's balance. E.g: 99 or -99","Aggiunta o sottrazione dell'accordo di affiliazione. Ad esempio: 99 o -99"
"Holding Transaction For","Holding Transazione per"
"Transaction","Transazione"
"Are you sure you want to cancel this transaction?","Sei sicuro di voler annullare questa transazione?"
"Are you sure you want to complete this transaction?","Sei sicuro di voler completare questa transazione?"
"Complete","Completare"
"View Transaction '%1'","Visualizza la transazione '%1'"
"Affiliate Account","Conto Affiliato"
"Type","Tipo"
"Order","Ordine"
"Created by","Creato da"
"This transaction will be holed to","Questa transazione sarà aperta"
"Created Time","Tempo creato"
"Save and Approve","Salva e approvi"
"Save","Salvare"
"New Withdraw","Nuovo ritiro"
"Withdraw Information","Estrarre le informazioni"
"Include fee.","Includi la tassa."
"Fee","tassa"
"If empty, configuration value will be used.","Se vuota, verrà utilizzato il valore di configurazione."
"Payment Method","Metodo di pagamento"
"Payment Detail","Dettaglio di pagamento"
"Withdraw","Ritirare"
"Edit Withdraw '%1'","Modifica Ritiro '%1'"
"Transfer Amount","Ammontare di trasferimento"
"Real amount will be transfer to affiliate.","L'importo reale sarà il trasferimento ad affiliato."
"Affiliate Discount","Sconto di affiliazione"
"Please input your friends email address.","Inserisci il tuo indirizzo email per i tuoi amici."
"Saved successfully!","Salvato con successo!"
