"Affiliate Banners","アフィリエイトバナー"
"My Credit","私のクレジット"
"Available Balance","利用可能残高"
"Holding Balance","保有残高"
"Total Earned","合計獲得額"
"Total Paid","支払総額"
"Refer friends","友達に紹介する"
"Affiliate Setting","アフィリエイト設定"
"Signup Affiliate","サインアップアフィリエイト"
"My Withdrawal","私の引退"
"You can request withdraw when your balance equal or greater than %1","残高が%1以上の場合に引き出しをリクエストすることができます"
"You can withdraw a minimum %1","最低%1を引き出すことができます"
"You can withdraw a maximum %1","最大%1を引き出すことができます"
"Save Account","アカウントを保存"
"Cancel","キャンセル"
"New Account","新しいアカウント"
"Please select a customer","顧客を選択してください"
"Account Information","口座情報"
"Customer","顧客"
"Affiliate Group","アフィリエイトグループ"
"Referred By","紹介者"
"Affiliate account Id","アフィリエイトアカウントID"
"Status","状態"
"Email Notification","電子メール通知"
"Account","アカウント"
"Save and Continue Edit","保存して編集を継続"
"Edit Account '%1'","アカウント '%1'を編集"
"Balance","バランス"
"Referral Code","紹介コード"
"Save Banner","バナーを保存"
"Edit Banner ""%1""","バナーの編集 ""%1"""
"New Banner","新しいバナー"
"Banner Information","バナー情報"
"Title","タイトル"
"Content","コンテンツ"
"Url","URL"
"If empty, home page will be used.","空の場合は、ホームページが使用されます。"
"Related Campaign","関連キャンペーン"
"Only affiliates who are in above campaign can see this banner.","上記のキャンペーンに参加しているアフィリエイトのみがこのバナーを見ることができます。"
"Rel Nofollow","Rel Nofollow"
"Put the rel=""nofollow"" attribute on the link.","リンクにrel = ""nofollow""属性を設定します。"
"Save Campaign","キャンペーンを保存する"
"Edit Campaign ""%1""","キャンペーン「%1」を編集"
"New Campaign","新しいキャンペーン"
"Campaign Information","キャンペーン情報"
"Name","名"
"Description","説明"
"Website IDs","ウェブサイトID"
"Affiliate Groups","アフィリエイトグループ"
"Display","表示"
"Active From Date","日付からアクティブ"
"Active To Date","今日までアクティブ"
"Sort Order","ソート順"
"Pay Per Sale","ペイ・パー・バイ・セール"
"Add Commission Type and Value","コミッションタイプと値を追加する"
"Commissions","手数料"
"Percentage of grand total","総額の割合"
"Fixed amount","定額"
"Apply the rule only if the following conditions are met (leave blank for all products)","次の条件が満たされている場合にのみルールを適用します（すべての製品で空白のままにします）"
"Condition","調子"
"Conditions","条件"
"Discounts","割引"
"Discount","ディスカウント"
"Apply","適用"
"Discount Amount","割引額"
"Apply to Shipping Amount","送料に適用されます"
"Discount Description","割引の説明"
"Save Group","グループを保存"
"New Group","新しいグループ"
"Group Information","グループ情報"
"Group","グループ"
"label","ラベル"
"Reset banner traffic","バナートラフィックをリセットする"
"Save Transaction","取引を保存する"
"New Transaction","新規取引"
"Please select an affiliate account","アフィリエイトアカウントを選択してください"
"Transaction Information","取引情報"
"Amount","量"
"Add or subtract affiliate's balance. E.g: 99 or -99","アフィリエイトの残高を加算または減算します。例：99または-99"
"Holding Transaction For","保有取引"
"Transaction","トランザクション"
"Are you sure you want to cancel this transaction?","この取引をキャンセルしてもよろしいですか？"
"Are you sure you want to complete this transaction?","この取引を完了してもよろしいですか？"
"Complete","コンプリート"
"View Transaction '%1'","トランザクション '%1'を表示"
"Affiliate Account","アフィリエイトアカウント"
"Type","タイプ"
"Order","注文"
"Created by","によって作成された"
"This transaction will be holed to","この取引は、"
"Created Time","作成時刻"
"Save and Approve","保存して承認する"
"Save","セーブ"
"New Withdraw","新しい撤退"
"Withdraw Information","情報の取り消し"
"Include fee.","料金を含む。"
"Fee","費用"
"If empty, configuration value will be used.","空の場合、設定値が使用されます。"
"Payment Method","支払方法"
"Payment Detail","支払詳細"
"Withdraw","撤退"
