"Affiliate Banners","제휴 배너"
"My Credit","나의 크레딧"
"Available Balance","사용 가능한 잔액"
"Holding Balance","보유 잔액"
"Total Earned","총 수입"
"Total Paid","총 지불액"
"Refer friends","친구에게 추천하기"
"Affiliate Setting","제휴 설정"
"Signup Affiliate","가입 제휴사"
"My Withdrawal","내 탈퇴"
"You can request withdraw when your balance equal or greater than %1","잔고가 %1 이상인 경우 철회를 요청할 수 있습니다."
"You can withdraw a minimum %1","최소 %1을 철회 할 수 있습니다."
"You can withdraw a maximum %1","최대 %1을 철회 할 수 있습니다."
"Save Account","계정 저장"
"Cancel","취소"
"New Account","새 계정"
"Please select a customer","고객을 선택하십시오."
"Account Information","계정 정보"
"Customer","고객"
"Affiliate Group","제휴 그룹"
"Referred By","추천자"
"Affiliate account Id","제휴 계정 ID"
"Status","지위"
"Email Notification","전자 메일 알림"
"Account","계정"
"Save and Continue Edit","저장하고 계속하기 편집"
"Edit Account '%1'","계정 '%1'수정"
"Balance","밸런스"
"Referral Code","추천 코드"
"Save Banner","배너 저장"
"Edit Banner ""%1""","배너 '%1'수정"
"New Banner","새 배너"
"Banner Information","배너 정보"
"Title","표제"
"Content","함유량"
"Url","URL"
"If empty, home page will be used.","비어 있으면 홈 페이지가 사용됩니다."
"Related Campaign","관련 캠페인"
"Only affiliates who are in above campaign can see this banner.","위의 캠페인에 속한 제휴사 만이 배너를 볼 수 있습니다."
"Rel Nofollow","Rel Nofollow"
"Put the rel=""nofollow"" attribute on the link.","링크에 rel = ""nofollow""속성을 추가하십시오."
"Save Campaign","캠페인 저장"
"Edit Campaign ""%1""","캠페인 '%1'수정"
"New Campaign","새 캠페인"
"Campaign Information","캠페인 정보"
"Name","이름"
"Description","기술"
"Website IDs","웹 사이트 ID"
"Affiliate Groups","제휴 단체"
"Display","디스플레이"
"Active From Date","날짜로부터 활성"
"Active To Date","활성 날짜"
"Sort Order","정렬 순서"
"Pay Per Sale","판매 별 지불"
"Add Commission Type and Value","커미션 유형 및 값 추가"
"Commissions","커미션"
"Percentage of grand total","총계의 백분율"
"Fixed amount","정액"
"Apply the rule only if the following conditions are met (leave blank for all products)","다음 조건이 충족되는 경우에만 규칙을 적용하십시오 (모든 제품에 대해 비워 두십시오)."
"Condition","조건"
"Conditions","정황"
"Discounts","할인"
"Discount","할인"
"Apply","대다"
"Discount Amount","할인 금액"
"Apply to Shipping Amount","배송 금액 적용"
"Discount Description","할인 설명"
"Save Group","그룹 저장"
"New Group","새 그룹"
"Group Information","그룹 정보"
"Group","그룹"
"label","상표"
"Reset banner traffic","배너 트래픽 재설정"
"Save Transaction","거래 저장"
"New Transaction","새 거래"
"Please select an affiliate account","제휴사 계정을 선택하십시오."
"Transaction Information","거래 정보"
"Amount","양"
"Add or subtract affiliate's balance. E.g: 99 or -99","제휴사 잔액을 더하거나 뺍니다. 예 : 99 또는 -99"
"Holding Transaction For","지주 거래"
"Transaction","트랜잭션"
"Are you sure you want to cancel this transaction?","이 거래를 취소 하시겠습니까?"
"Are you sure you want to complete this transaction?","이 거래를 완료 하시겠습니까?"
"Complete","완전한"
"View Transaction '%1'","거래 '%1'보기"
"Affiliate Account","제휴 계정"
"Type","유형"
"Order","주문"
"Created by","작성자 :"
"This transaction will be holed to","이 거래는"
"Created Time","생성 시간"
"Save and Approve","저장 및 승인"
"Save","구하다"
"New Withdraw","새로운 철수"
"Withdraw Information","정보 철회"
"Include fee.","수수료를 포함하십시오."
"Fee","보수"
"If empty, configuration value will be used.","비어 있으면 구성 값이 사용됩니다."
"Payment Method","지불 방법"
"Payment Detail","지불 세부 정보"
"Withdraw","빼다"
"Edit Withdraw '%1'","철회 편집 '%1'"
"Transfer Amount","이전 금액"
"Real amount will be transfer to affiliate.","실제 금액은 제휴사로 이전됩니다."
"Affiliate Discount","제휴사 할인"
"Please input your friends email address.","친구 이메일 주소를 입력하십시오."
"Saved successfully!","성공적으로 저장되었습니다."
"Something went wrong while saving the Account.","계정을 저장하는 동안 문제가 발생했습니다."
"Your account is not active. Please contact us.","귀하의 계정이 활성화되어 있지 않습니다. 문의하시기 바랍니다."
"You have to agree with term and conditions.","이용 약관에 동의해야합니다."
"Congratulations! You have successfully registered. We will review your affiliate account and inform you once it's approved!","치하! 등록을 완료했습니다. 귀하의 제휴사 계정을 검토하고 승인되면 알려 드리겠습니다."
"Congratulations! You have successfully registered.","치하! 등록을 완료했습니다."
"The withdraw has been canceled successfully.","철회가 성공적으로 취소되었습니다."
"Something went wrong while saving the request.","요청을 저장하는 동안 문제가 발생했습니다."
"Cannot find item.","항목을 찾을 수 없습니다."
"An error occur. Please contact us.","오류가 발생합니다. 문의하시기 바랍니다."
"Your request has been sent successfully. We will review your request and inform you once it's approved!","요청이 성공적으로 전송되었습니다. 귀하의 요청을 검토하고 승인되면 알려 드리겠습니다."
"Your balance is not enough for request withdraw.","요청 취소에 대한 잔액만으로는 충분하지 않습니다."
"The withdraw amount have to equal or greater than %1","인출 금액이 %1 이상이어야합니다."
"The withdraw amount have to equal or less than %1","인출 금액은 %1 이하 여야합니다."
"This account no longer exists.","이 계정은 더 이상 존재하지 않습니다."
"The Account has been deleted.","계정이 삭제되었습니다."
"Account to delete was not found.","삭제할 계정을 찾을 수 없습니다."
"Accounts","계정"
"Edit Account ""%1""","계정 수정 ""%1"""
"A total of %1 record(s) have been deleted.","총 %1 개의 레코드가 삭제되었습니다."
"The customer ""%1"" has registed as an affiliate already.","고객 ""%1""은 이미 제휴사로 등록되어 있습니다."
"Cannot find account referred.","추천 된 계정을 찾을 수 없습니다."
"The Account has been created successfully.","계정이 성공적으로 생성되었습니다."
"The Account has been saved successfully.","계정이 성공적으로 저장되었습니다."
"The Banner has been deleted.","배너가 삭제되었습니다."
"Something went wrong while deleting banner data. Please review the action log and try again.","배너 데이터를 삭제하는 동안 문제가 발생했습니다. 작업 로그를 검토하고 다시 시도하십시오."
"We cannot find a banner to delete.","삭제할 배너를 찾을 수 없습니다."
"This banner no longer exists.","이 배너는 더 이상 존재하지 않습니다."
"Banners","배너"
"Edit Banner","배너 편집"
"This banner does not exist.","이 배너는 존재하지 않습니다."
"You saved the banner.","배너를 저장했습니다."
"We cannot save the banner.","우리는 배너를 저장할 수 없습니다."
"This campaign no longer exists.","이 캠페인은 더 이상 존재하지 않습니다."
"The Campaign has been deleted.","캠페인이 삭제되었습니다."
"Campaign to delete was not found.","삭제할 캠페인을 찾을 수 없습니다."
"Campaigns","캠페인"
"Please correct the data sent.","전송 된 데이터를 수정하십시오."
"Something went wrong while saving the Campaign.","캠페인을 저장하는 동안 문제가 발생했습니다."
"The Campaign has been saved successfully.","캠페인이 성공적으로 저장되었습니다."
"Tier","층"
"Groups","여러 떼"
"Something went wrong while saving the Group.","그룹을 저장하는 동안 문제가 발생했습니다."
"Cannot remove this group","이 그룹을 삭제할 수 없습니다."
"The Group has been created successfully.","그룹이 성공적으로 생성되었습니다."
"The Transaction has been canceled.","거래가 취소되었습니다."
"The Transaction has been completed.","거래가 완료되었습니다."
"Transactions","업무"
"View Transaction ""%1""","거래 '%1'보기"
"This Transaction no longer exists.","이 거래가 더 이상 존재하지 않습니다."
"A total of %1 record(s) have been canceled.","총 %1 개의 레코드가 취소되었습니다."
