"Affiliate Banners","Affiliate Banners"
"My Credit","Mijn Credit"
"Available Balance","beschikbaar saldo"
"Holding Balance","Holding Balance"
"Total Earned","totaal verdiend"
"Total Paid","Totaal betaald"
"Refer friends","Verwijs vrienden"
"Affiliate Setting","Affiliate instelling"
"Signup Affiliate","Inschrijven Partner"
"My Withdrawal","Mijn Onttrekking"
"You can request withdraw when your balance equal or greater than %1","U kunt verzoeken terugtrekken wanneer uw saldo gelijk is aan of hoger dan %1"
"You can withdraw a minimum %1","U kunt minimaal %1 terugtrekken"
"You can withdraw a maximum %1","U kunt maximaal %1 terugtrekken"
"Save Account","Account opslaan"
"Cancel","Annuleer"
"New Account","Nieuw account"
"Please select a customer","Selecteer een klant alsjeblieft"
"Account Information","Account Informatie"
"Customer","Klant"
"Affiliate Group","Affiliate groep"
"Referred By","Verwezen door"
"Affiliate account Id","Aangesloten account id"
"Status","staat"
"Email Notification","E-mail notificatie"
"Account","Account"
"Save and Continue Edit","Opslaan en doorgaan Bewerken"
"Edit Account '%1'","Account bewerken '%1'"
"Balance","Balans"
"Referral Code","Verwijzingscode"
"Save Banner","Banner opslaan"
"Edit Banner ""%1""","Banner bewerken ""%1"""
"New Banner","Nieuwe Banner"
"Banner Information","Banner Informatie"
"Title","Titel"
"Content","Inhoud"
"Url","url"
"If empty, home page will be used.","Als leeg, wordt de startpagina gebruikt."
"Related Campaign","Gerelateerde campagne"
"Only affiliates who are in above campaign can see this banner.","Alleen filialen die in bovenstaande campagne zijn, kunnen deze banner zien."
"Rel Nofollow","Rel Nofollow"
"Put the rel=""nofollow"" attribute on the link.","Zet het rel = ""nofollow"" attribuut op de link."
"Save Campaign","Campagne opslaan"
"Edit Campaign ""%1""","Bewerk campagne '%1'"
"New Campaign","Nieuwe campagne"
"Campaign Information","Campagne-informatie"
"Name","Naam"
"Description","Beschrijving"
"Website IDs","Website ID's"
"Affiliate Groups","Affiliate Groepen"
"Display","tonen"
"Active From Date","Actief vanaf datum"
"Active To Date","Actief tot datum"
"Sort Order","sorteervolgorde"
"Pay Per Sale","Betalen per verkoop"
"Add Commission Type and Value","Voeg type en waarde van de Commissie toe"
"Commissions","commissies"
"Percentage of grand total","Percentage van het totaalbedrag"
"Fixed amount","Vaste hoeveelheid"
"Apply the rule only if the following conditions are met (leave blank for all products)","Pas de regel alleen toe als aan de volgende voorwaarden is voldaan (laat leeg voor alle producten)"
"Condition","Staat"
"Conditions","Voorwaarden"
"Discounts","Kortingen"
"Discount","Korting"
"Apply","Van toepassing zijn"
"Discount Amount","Korting hoeveelheid"
"Apply to Shipping Amount","Toepassen op Verzendbedrag"
"Discount Description","Korting Beschrijving"
"Save Group","Groep opslaan"
"New Group","Nieuwe groep"
"Group Information","Groepsinformatie"
"Group","Groep"
"label","etiket"
"Reset banner traffic","Bannerverkeer opnieuw instellen"
"Save Transaction","Transactie opslaan"
"New Transaction","Nieuwe Transactie"
"Please select an affiliate account","Selecteer een affiliate account"
"Transaction Information","Transactie informatie"
"Amount","Bedrag"
"Add or subtract affiliate's balance. E.g: 99 or -99","Voeg de afgestemde saldo toe of trek het af. Bijvoorbeeld: 99 of -99"
"Holding Transaction For","Holding Transaction Voor"
"Transaction","Transactie"
"Are you sure you want to cancel this transaction?","Weet u zeker dat u deze transactie wilt annuleren?"
"Are you sure you want to complete this transaction?","Weet u zeker dat u deze transactie wilt voltooien?"
"Complete","compleet"
"View Transaction '%1'","Bekijk transactie '%1'"
"Affiliate Account","Affiliate account"
"Type","Type"
"Order","Bestellen"
"Created by","Gemaakt door"
"This transaction will be holed to","Deze transactie wordt vastgelegd aan"
"Created Time","Gecreëerde tijd"
"Save and Approve","Opslaan en goedkeuren"
"Save","Save"
"New Withdraw","Nieuw onttrekken"
"Withdraw Information","Ontvang informatie"
"Include fee.","Inclusief vergoeding."
"Fee","honorarium"
"If empty, configuration value will be used.","Als leeg, zal de configuratie waarde worden gebruikt."
"Payment Method","Betalingsmiddel"
"Payment Detail","Betalings detail"
"Withdraw","terugtrekken"
"Edit Withdraw '%1'","Bewerk '%1' bewerken"
"Transfer Amount","Overboekingsbedrag"
"Real amount will be transfer to affiliate.","Echte hoeveelheid zal worden overgedragen aan affiliate."
"Affiliate Discount","Affiliate korting"
"Please input your friends email address.","Vul alstublieft uw vrienden e-mailadres in."
"Saved successfully!","Met succes opgeslagen!"
"Something went wrong while saving the Account.","Er is iets fout gegaan tijdens het opslaan van het account."
"Your account is not active. Please contact us.","Uw account is niet actief. Contacteer ons alsjeblieft."
"You have to agree with term and conditions.","U moet akkoord gaan met termijnen en voorwaarden."
"Congratulations! You have successfully registered. We will review your affiliate account and inform you once it's approved!","Hartelijk gefeliciteerd! Je bent succesvol geregistreerd. We zullen uw affiliate account bekijken en u een keer informeren als het goedgekeurd is!"
"Congratulations! You have successfully registered.","Hartelijk gefeliciteerd! Je bent succesvol geregistreerd."
"The withdraw has been canceled successfully.","Het terugtrekken is succesvol geannuleerd."
"Something went wrong while saving the request.","Er is iets fout gegaan tijdens het opslaan van het verzoek."
"Cannot find item.","Kan het item niet vinden."
"An error occur. Please contact us.","Er is een fout opgetreden. Contacteer ons alsjeblieft."
"Your request has been sent successfully. We will review your request and inform you once it's approved!","Uw aanvraag is succesvol verzonden. We zullen uw aanvraag beoordelen en u informeren zodra het goedgekeurd is!"
"Your balance is not enough for request withdraw.","Uw saldo is niet genoeg voor het terugtrekken van de aanvraag."
"The withdraw amount have to equal or greater than %1","Het terugtrekken bedrag moet gelijk zijn aan of groter dan %1"
"The withdraw amount have to equal or less than %1","Het terugtrekken bedrag moet gelijk zijn aan of minder dan %1"
"This account no longer exists.","Dit account bestaat niet meer."
"The Account has been deleted.","Het account is verwijderd."
"Account to delete was not found.","Account om te verwijderen is niet gevonden."
"Accounts","accounts"
"Edit Account ""%1""","Account bewerken ""%1"""
"A total of %1 record(s) have been deleted.","Totaal %1 record (en) zijn verwijderd."
"The customer ""%1"" has registed as an affiliate already.","De klant ""%1"" heeft al geregistreerd als partner."
"Cannot find account referred.","Kan geen verwijzing vinden."
"The Account has been created successfully.","Het account is succesvol gemaakt."
"The Account has been saved successfully.","Het account is succesvol opgeslagen."
"The Banner has been deleted.","De banner is verwijderd."
"Something went wrong while deleting banner data. Please review the action log and try again.","Er is iets fout gegaan tijdens het wissen van bannergegevens. Controleer alstublieft het action log en probeer het opnieuw."
"We cannot find a banner to delete.","We kunnen geen banner vinden om te verwijderen."
"This banner no longer exists.","Deze banner bestaat niet meer."
"Banners","banners"
"Edit Banner","Banner bewerken"
