"Affiliate Banners","Banery Affiliate"
"My Credit","Mój kredyt"
"Available Balance","Dostępne saldo"
"Holding Balance","Trzymanie równowagi"
"Total Earned","Łączna zarobiona"
"Total Paid","Pełna kwota"
"Refer friends","Poleć znajomemu"
"Affiliate Setting","Ustawienie Partnerski"
"Signup Affiliate","Rejestracja Affiliate"
"My Withdrawal","Moje wycofanie"
"You can request withdraw when your balance equal or greater than %1","Możesz poprosić o odstąpienie, gdy saldo jest równe lub większe niż %1"
"You can withdraw a minimum %1","Możesz cofnąć minimum %1"
"You can withdraw a maximum %1","Możesz wycofać maksymalnie %1"
"Save Account","Zapisz konto"
"Cancel","Anuluj"
"New Account","Nowe konto"
"Please select a customer","Proszę wybrać klienta"
"Account Information","informacje o koncie"
"Customer","Klient"
"Affiliate Group","Grupa stowarzyszona"
"Referred By","Zaproszono przez"
"Affiliate account Id","Identyfikator konta koncowego"
"Status","Status"
"Email Notification","Powiadomienie e-mail"
"Account","Konto"
"Save and Continue Edit","Zapisz i kontynuuj edycję"
"Edit Account '%1'","Edytuj konto '%1'"
"Balance","Bilansowy"
"Referral Code","kod polecającego"
"Save Banner","Zapisz baner"
"Edit Banner ""%1""","Edytuj baner ""%1"""
"New Banner","Nowy baner"
"Banner Information","Informacje o banerze"
"Title","Tytuł"
"Content","Zadowolony"
"Url","Url"
"If empty, home page will be used.","Jeśli jest pusty, będzie używana strona domowa."
"Related Campaign","Kampania powiązana"
"Only affiliates who are in above campaign can see this banner.","Można zobaczyć ten sztandar tylko oddziałów, którzy są w powyższej kampanii."
"Rel Nofollow","Rel Nofollow"
"Put the rel=""nofollow"" attribute on the link.","Umieść atrybut rel = ""nofollow"" na link."
"Save Campaign","Zapisz kampanię"
"Edit Campaign ""%1""","Edytuj kampanię ""%1"""
"New Campaign","Nowa kampania"
"Campaign Information","Informacje o kampanii"
"Name","Nazwa"
"Description","Opis"
"Website IDs","Identyfikatory witryn internetowych"
"Affiliate Groups","Grupy partnerskie"
"Display","Pokaz"
"Active From Date","Aktywny od daty"
"Active To Date","Aktywny do daty"
"Sort Order","Sortuj kolejność"
"Pay Per Sale","Pay Per Sale"
"Add Commission Type and Value","Dodaj typ i wartość typu Komisji"
"Commissions","Komisje"
"Percentage of grand total","Procent całości"
"Fixed amount","Stała kwota"
"Apply the rule only if the following conditions are met (leave blank for all products)","Zastosuj regułę tylko wtedy, gdy spełnione są następujące warunki (pozostaw puste dla wszystkich produktów)"
"Condition","Stan"
"Conditions","Warunki"
"Discounts","Zniżki"
"Discount","Zniżka"
"Apply","Zastosować"
"Discount Amount","Kwota rabatu"
"Apply to Shipping Amount","Zastosuj do kwoty wysyłki"
"Discount Description","Opis rabatu"
"Save Group","Zapisz grupę"
"New Group","Nowa grupa"
"Group Information","Informacje o grupie"
"Group","Grupa"
"label","etykieta"
"Reset banner traffic","Zresetowanie ruchu banerowego"
"Save Transaction","Zapisz transakcję"
"New Transaction","Nowa transakcja"
"Please select an affiliate account","Proszę wybrać konto partnerskie"
"Transaction Information","Informacje o transakcji"
"Amount","Ilość"
"Add or subtract affiliate's balance. E.g: 99 or -99","Dodaj lub usuń saldo partnera. Np .: 99 lub -99"
"Holding Transaction For","Prowadzenie transakcji dla"
"Transaction","Transakcja"
"Are you sure you want to cancel this transaction?","Czy na pewno chcesz anulować tę transakcję?"
"Are you sure you want to complete this transaction?","Czy na pewno chcesz zakończyć tę transakcję?"
"Complete","Kompletny"
"View Transaction '%1'","Wyświetl transakcję '%1'"
"Affiliate Account","Konto partnerskie"
"Type","Rodzaj"
"Order","Zamówienie"
"Created by","Stworzone przez"
"This transaction will be holed to","Ta transakcja zostanie ukryta"
"Created Time","Czas utworzenia"
"Save and Approve","Zapisz i zaakceptuj"
"Save","Zapisać"
"New Withdraw","Nowy Wycofaj"
"Withdraw Information","Wycofaj informacje"
"Include fee.","Uwzględnij opłatę."
"Fee","Opłata"
"If empty, configuration value will be used.","Jeśli jest pusty, zostanie użyta wartość konfiguracji."
"Payment Method","Metoda płatności"
"Payment Detail","Szczegóły płatności"
"Withdraw","Wycofać"
"Edit Withdraw '%1'","Edytuj Wysuń '%1'"
"Transfer Amount","Kwota transferu"
"Real amount will be transfer to affiliate.","Rzeczywista kwota zostanie przekazana do oddziału."
"Affiliate Discount","Affiliate Discount"
"Please input your friends email address.","Wpisz swój adres e-mail znajomego."
"Saved successfully!","Zapisano pomyślnie!"
"Something went wrong while saving the Account.","Coś poszło nie tak podczas zapisywania konta."
"Your account is not active. Please contact us.","Twoje konto nie jest aktywne. Proszę skontaktuj się z nami."
"You have to agree with term and conditions.","Musisz zgodzić się z warunkami i warunkami."
"Congratulations! You have successfully registered. We will review your affiliate account and inform you once it's approved!","Gratulacje! Zarejestrowałeś się pomyślnie. Sprawdzimy Twoje konto partnerskie i poinformujemy Cię o tym, gdy zostanie zatwierdzony!"
"Congratulations! You have successfully registered.","Gratulacje! Zarejestrowałeś się pomyślnie."
"The withdraw has been canceled successfully.","Wycofanie zostało anulowane z powodzeniem."
"Something went wrong while saving the request.","Wystąpił błąd podczas zapisywania żądania."
"Cannot find item.","Nie można znaleźć elementu."
"An error occur. Please contact us.","Wystąpił błąd. Proszę skontaktuj się z nami."
"Your request has been sent successfully. We will review your request and inform you once it's approved!","Twoja prośba została wysłana pomyślnie. Sprawdzimy Twoją prośbę i poinformujemy Cię, gdy zostanie ona zatwierdzona!"
"Your balance is not enough for request withdraw.","Saldo Twojego konta nie wystarczy do wycofania wniosku."
"The withdraw amount have to equal or greater than %1","Kwota wypłaty musi być równa lub większa niż %1"
"The withdraw amount have to equal or less than %1","Kwota wypłaty musi być równa lub mniejsza niż %1"
"This account no longer exists.","To konto już nie istnieje."
"The Account has been deleted.","Konto zostało usunięte."
"Account to delete was not found.","Nie znaleziono konta do usunięcia."
"Accounts","Konta"
"Edit Account ""%1""","Edytuj konto ""%1"""
"A total of %1 record(s) have been deleted.","Usunięto co najmniej %1 rekordów."
"The customer ""%1"" has registed as an affiliate already.","Klient ""%1"" zarejestrował się już jako partner."
"Cannot find account referred.","Nie można odnaleźć konta."
"The Account has been created successfully.","Konto zostało utworzone pomyślnie."
"The Account has been saved successfully.","Konto zostało zapisane pomyślnie."
"The Banner has been deleted.","Banner został usunięty."
"Something went wrong while deleting banner data. Please review the action log and try again.","Wystąpił błąd podczas usuwania danych banerowych. Sprawdź dziennik działań i spróbuj ponownie."
"We cannot find a banner to delete.","Nie możemy znaleźć baneru do usunięcia."
"This banner no longer exists.","Ten baner nie istnieje."
"Banners","Banery"
"Edit Banner","Edytuj baner"
"This banner does not exist.","Ten sztandar nie istnieje."
"You saved the banner.","Zapisałeś sztandar."
"We cannot save the banner.","Nie możemy zapisać banera."
"This campaign no longer exists.","Ta kampania już nie istnieje."
"The Campaign has been deleted.","Kampania została usunięta."
"Campaign to delete was not found.","Nie znaleziono kampanii do usunięcia."
"Campaigns","Kampanie"
"Please correct the data sent.","Proszę poprawić wysyłane dane."
"Something went wrong while saving the Campaign.","Coś poszło nie tak, oszczędzając kampanię."
"The Campaign has been saved successfully.","Kampania została zapisana pomyślnie."
"Tier","Poziom"
"Groups","Grupy"
"Something went wrong while saving the Group.","Coś poszło nie tak, pomagając Grupie."
"Cannot remove this group","Nie można usunąć tej grupy"
"The Group has been created successfully.","Grupa została pomyślnie utworzona."
"The Transaction has been canceled.","Transakcja została anulowana."
"The Transaction has been completed.","Transakcja została zakończona."
"Transactions","Transakcje"
"View Transaction ""%1""","Wyświetl transakcję ""%1"""
"This Transaction no longer exists.","Ta transakcja już nie istnieje."
"A total of %1 record(s) have been canceled.","Rekordy %1 zostały anulowane."
"A total of %1 record(s) have been completed.","Zakończono łącznie %1 rekordów."
"Account balance is not enough to create this transaction.","Saldo konta nie wystarczy do utworzenia tej transakcji."
"The Transaction has been created.","Transakcja została utworzona."
"Something went wrong while saving the Transaction.","Coś poszło nie tak, zachowując transakcję."
"This withdrawal no longer exists.","To wycofanie już nie istnieje."
"Withdraws","Wycofuje się"
"Edit Withdraw ""%1""","Edytuj Wycofaj ""%1"""
"Edit Withdraw ""#%1""","Edytuj Wycofaj ""# %1"""
"A total of %1 record(s) have been approved successfully.","Rekordy %1 zostały zatwierdzone pomyślnie."
"A total of %1 record(s) have been cancelled.","Rekordy %1 zostały anulowane."
