"Affiliate Banners","Banners de afiliados"
"My Credit","Meu crédito"
"Available Balance","Saldo disponível"
"Holding Balance","Saldo de retenção"
"Total Earned","Total Ganhou"
"Total Paid","Total pago"
"Refer friends","Referir amigos"
"Affiliate Setting","Configuração de afiliados"
"Signup Affiliate","Cadastro de inscrição"
"My Withdrawal","Minha retirada"
"You can request withdraw when your balance equal or greater than %1","Você pode solicitar retirada quando seu saldo igual ou maior que %1"
"You can withdraw a minimum %1","Você pode retirar um mínimo de %1"
"You can withdraw a maximum %1","Você pode retirar um máximo de %1"
"Save Account","Salvar conta"
"Cancel","Cancelar"
"New Account","Nova conta"
"Please select a customer","Selecione um cliente"
"Account Information","Informação da conta"
"Customer","Cliente"
"Affiliate Group","Grupo de afiliados"
"Referred By","Referido por"
"Affiliate account Id","ID da conta do afiliado"
"Status","Status"
"Email Notification","Notificação de Email"
"Account","Conta"
"Save and Continue Edit","Salvar e continuar Editar"
"Edit Account '%1'","Editar conta '%1'"
"Balance","Equilibrar"
"Referral Code","Código de Referencia"
"Save Banner","Salvar Banner"
"Edit Banner ""%1""","Editar banner ""%1"""
"New Banner","Novo banner"
"Banner Information","Informações da bandeira"
"Title","Título"
"Content","Conteúdo"
"Url","Url"
"If empty, home page will be used.","Se estiver vazio, a página inicial será usada."
"Related Campaign","Campanha relacionada"
"Only affiliates who are in above campaign can see this banner.","Somente os afiliados que estão na campanha acima podem ver esse banner."
"Rel Nofollow","Rel Nofollow"
"Put the rel=""nofollow"" attribute on the link.","Coloque o atributo rel = ""nofollow"" no link."
"Save Campaign","Save Campaign"
"Edit Campaign ""%1""","Editar campanha ""%1"""
"New Campaign","Nova Campanha"
"Campaign Information","Informações da campanha"
"Name","Nome"
"Description","Descrição"
"Website IDs","IDs do site"
"Affiliate Groups","Grupos de afiliados"
"Display","Exibição"
"Active From Date","Ativo a partir da data"
"Active To Date","Ativo até à data"
"Sort Order","Ordem de classificação"
"Pay Per Sale","Pagamento por venda"
"Add Commission Type and Value","Adicionar Tipo e Valor da Comissão"
"Commissions","Comissões"
"Percentage of grand total","Porcentagem do total geral"
"Fixed amount","Quantia fixa"
"Apply the rule only if the following conditions are met (leave blank for all products)","Aplique a regra somente se as seguintes condições forem atendidas (deixe em branco para todos os produtos)"
"Condition","Condição"
"Conditions","Condições"
"Discounts","Descontos"
"Discount","Desconto"
"Apply","Aplique"
"Discount Amount","Valor de desconto"
"Apply to Shipping Amount","Aplicar ao valor de envio"
"Discount Description","Descrição do desconto"
"Save Group","Salvar grupo"
"New Group","Novo grupo"
"Group Information","Informações do grupo"
"Group","Grupo"
"label","rótulo"
"Reset banner traffic","Redefinir tráfego de banner"
"Save Transaction","Salvar transação"
"New Transaction","Nova transação"
"Please select an affiliate account","Selecione uma conta afiliada"
"Transaction Information","Informação de Transação"
"Amount","Montante"
"Add or subtract affiliate's balance. E.g: 99 or -99","Adicione ou subtraia o saldo da afiliada. Por exemplo: 99 ou -99"
