"Affiliate Banners","Bannere afiliate"
"My Credit","Creditul meu"
"Available Balance","Sold disponibil"
"Holding Balance","Holding Balance"
"Total Earned","Total câștigat"
"Total Paid","Plata totala"
"Refer friends","Adresați-vă prietenilor"
"Affiliate Setting","Afiliere Setare"
"Signup Affiliate","Înscrieți-vă afiliatul"
"My Withdrawal","Retragerea mea"
"You can request withdraw when your balance equal or greater than %1","Puteți solicita retragerea atunci când soldul dvs. este egal sau mai mare de %1"
"You can withdraw a minimum %1","Puteți retrage un minim de %1"
"You can withdraw a maximum %1","Puteți să retrageți maximum %1"
"Save Account","Salvați contul"
"Cancel","Anulare"
"New Account","Cont nou"
"Please select a customer","Selectați un client"
"Account Information","informatii despre cont"
"Customer","Client"
"Affiliate Group","Afiliere Grup"
"Referred By","Menționate prin"
"Affiliate account Id","Codul contului de afiliere Id"
"Status","stare"
"Email Notification","notificare prin e-mail"
"Account","Cont"
"Save and Continue Edit","Salvați și continuați editarea"
"Edit Account '%1'","Editați contul '%1'"
"Balance","Echilibru"
"Referral Code","Codul de recomandare"
"Save Banner","Salvați bannerul"
"Edit Banner ""%1""","Editați bannerul ""%1"""
"New Banner","Banner nou"
"Banner Information","Informații banner"
"Title","Titlu"
"Content","Conţinut"
"Url","Url"
"If empty, home page will be used.","Dacă este goală, va fi folosită pagina de pornire."
"Related Campaign","Campanie similară"
"Only affiliates who are in above campaign can see this banner.","Numai afiliații care se află în campania de mai sus pot vedea acest banner."
"Rel Nofollow","Reluați-l pe Nofollow"
"Put the rel=""nofollow"" attribute on the link.","Puneți atributul rel = ""nofollow"" pe link."
"Save Campaign","Salvați campania"
"Edit Campaign ""%1""","Editați campania ""%1"""
"New Campaign","Campanie nouă"
"Campaign Information","Informații despre campanii"
"Name","Nume"
"Description","Descriere"
"Website IDs","Coduri de site"
"Affiliate Groups","Afiliate Grupuri"
"Display","Afişa"
"Active From Date","Activ din data"
"Active To Date","Activ la data"
"Sort Order","Ordinea de sortare"
"Pay Per Sale","Plătiți pe vânzare"
"Add Commission Type and Value","Adăugați tipul și valoarea Comisiei"
"Commissions","comisioane"
"Percentage of grand total","Procentajul totalului total"
"Fixed amount","Cantitate fixă"
"Apply the rule only if the following conditions are met (leave blank for all products)","Aplicați regula numai dacă sunt îndeplinite următoarele condiții (lăsați necompletate pentru toate produsele)"
"Condition","Condiție"
"Conditions","Condiții"
"Discounts","reduceri"
