"Affiliate Banners","Партнерские баннеры"
"My Credit","Мой кредит"
"Available Balance","доступные средства"
"Holding Balance","Холдинг-баланс"
"Total Earned","Всего заработало"
"Total Paid","Итого"
"Refer friends","Отправить друзьям"
"Affiliate Setting","Настройка партнера"
"Signup Affiliate","Регистрация Присоединиться"
"My Withdrawal","Мой вывод"
"You can request withdraw when your balance equal or greater than %1","Вы можете запросить снятие средств, если ваш баланс равен или больше, чем %1"
"You can withdraw a minimum %1","Вы можете снять минимум %1"
"You can withdraw a maximum %1","Вы можете снять максимум %1"
"Save Account","Сохранить аккаунт"
"Cancel","Отмена"
"New Account","Новый аккаунт"
"Please select a customer","Выберите клиента"
"Account Information","Информация об аккаунте"
"Customer","Клиент"
"Affiliate Group","Партнерская группа"
"Referred By","Отправлено"
"Affiliate account Id","Идентификатор партнерской учетной записи"
"Status","Положение дел"
"Email Notification","Уведомление по электронной почте"
"Account","Счет"
"Save and Continue Edit","Сохранить и продолжить редактирование"
"Edit Account '%1'","Изменить учетную запись '%1'"
"Balance","Баланс"
"Referral Code","Промо-код"
"Save Banner","Сохранить баннер"
"Edit Banner ""%1""","Редактировать баннер ""%1"""
"New Banner","Новый баннер"
"Banner Information","Баннерная информация"
"Title","заглавие"
"Content","содержание"
"Url","Веб-сайт"
"If empty, home page will be used.","Если пусто, будет использоваться домашняя страница."
"Related Campaign","Связанная кампания"
"Only affiliates who are in above campaign can see this banner.","Этот баннер может видеть только аффилированные лица, которые находятся в вышеуказанной кампании."
"Rel Nofollow","Rel Nofollow"
"Put the rel=""nofollow"" attribute on the link.","Поместите атрибут rel = ""nofollow"" в ссылку."
"Save Campaign","Сохранить кампанию"
"Edit Campaign ""%1""","Редактировать кампанию «%1»"
"New Campaign","Новая кампания"
"Campaign Information","Информация о кампании"
"Name","имя"
"Description","Описание"
"Website IDs","Идентификаторы веб-сайтов"
"Affiliate Groups","Партнерские группы"
"Display","дисплей"
"Active From Date","Активен с даты"
"Active To Date","Активен до даты"
