"Affiliate Banners","Аффилиате баннерс"
"My Credit","Мој кредит"
"Available Balance","Доступно Стање"
"Holding Balance","Холдинг Баланце"
"Total Earned","Тотал Еарнед"
"Total Paid","Укупно плаћено"
"Refer friends","Позовите пријатеље"
"Affiliate Setting","Аффилиате Сеттинг"
"Signup Affiliate","Сигнуп Аффилиате"
"My Withdrawal","Мој повлачење"
"You can request withdraw when your balance equal or greater than %1","Можете затражити повлачење када је ваш салдо једнак или већи од %1"
"You can withdraw a minimum %1","Можете подићи минимум %1"
"You can withdraw a maximum %1","Можете подићи највише %1"
"Save Account","Сачувај налог"
"Cancel","Отказати"
"New Account","Нови налог"
"Please select a customer","Изаберите купца"
"Account Information","Информације о налогу"
"Customer","Купац"
"Affiliate Group","Аффилиате Гроуп"
"Referred By","Препоручени од"
"Affiliate account Id","Ид картице партнера"
"Status","Статус"
"Email Notification","Обавештење о е-пошти"
"Account","Рачун"
"Save and Continue Edit","Сачувај и настави уредити"
"Edit Account '%1'","Измени налог '%1'"
"Balance","Баланс"
"Referral Code","Реферални код"
"Save Banner","Сачувај банер"
"Edit Banner ""%1""","Измени Банер ""%1"""
"New Banner","Нев Баннер"
"Banner Information","Информације о баннеру"
"Title","Наслов"
"Content","Садржај"
"Url","Урл"
"If empty, home page will be used.","Ако је празна, почетна страница ће се користити."
"Related Campaign","Повезана кампања"
"Only affiliates who are in above campaign can see this banner.","Само подружнице које су у претходној кампањи могу видјети овај банер."
"Rel Nofollow","Рел Нофоллов"
"Put the rel=""nofollow"" attribute on the link.","Ставите рел = ""нофоллов"" атрибут на линку."
"Save Campaign","Сачувај кампању"
"Edit Campaign ""%1""","Измени кампању ""%1"""
"New Campaign","Нова кампања"
"Campaign Information","Информације о кампањи"
"Name","Име"
"Description","Опис"
"Website IDs","ИД-ове веб-сајта"
"Affiliate Groups","Аффилиате Гроупс"
"Display","Приказ"
"Active From Date","Активно од датума"
"Active To Date","Активно за датум"
"Sort Order","Сорт Ордер"
"Pay Per Sale","Плаћајте по продаји"
"Add Commission Type and Value","Додајте тип и вредност комисије"
"Commissions","Комисије"
"Percentage of grand total","Проценат укупног броја"
"Fixed amount","Фиксни износ"
"Apply the rule only if the following conditions are met (leave blank for all products)","Примијените правило само ако су испуњени сљедећи услови (оставите празно за све производе)"
"Condition","Стање"
"Conditions","Услови"
"Discounts","Попусти"
"Discount","Попуст"
"Apply","Применити"
"Discount Amount","Износ попуста"
"Apply to Shipping Amount","Примени на износ отпреме"
"Discount Description","Опис попуста"
"Save Group","Сачувај групу"
"New Group","Нова група"
"Group Information","Информације о групи"
"Group","Група"
"label","етикета"
"Reset banner traffic","Ресетујте банер саобраћај"
"Save Transaction","Сачувај трансакцију"
"New Transaction","Нова трансакција"
"Please select an affiliate account","Молимо изаберите аффилиате налог"
"Transaction Information","Информације о трансакцији"
"Amount","Износ"
"Add or subtract affiliate's balance. E.g: 99 or -99","Додајте или одузмите биланс подружнице. Нпр .: 99 или -99"
"Holding Transaction For","Холдинг Трансацтион Фор"
"Transaction","Трансакција"
