"Affiliate Banners","Ortaklık Afişleri"
"My Credit","Kredim"
"Available Balance","Kalan bakiye"
"Holding Balance","Holding Bakiyesi"
"Total Earned","Toplam Kazanılan"
"Total Paid","Toplam Ücretli"
"Refer friends","Arkadaşları gör"
"Affiliate Setting","Bağlı Kuruluş Ayarları"
"Signup Affiliate","Üye Olun Bağlı Kuruluş"
"My Withdrawal","Para Çekme"
"You can request withdraw when your balance equal or greater than %1","Bakiyeniz %1'den büyük veya daha büyük olduğunda çekme talebinde bulunabilirsiniz"
"You can withdraw a minimum %1","En azından %1 numaralı telefondan çekebilirsiniz"
"You can withdraw a maximum %1","En fazla %1 çekebilirsiniz"
"Save Account","Hesabı Kaydet"
"Cancel","İptal etmek"
"New Account","Yeni hesap"
"Please select a customer","Lütfen bir müşteri seçin"
"Account Information","Hesap Bilgileri"
"Customer","Müşteri"
"Affiliate Group","Ortaklık Grubu"
"Referred By","Tarafından Tavsiye Edildi"
"Affiliate account Id","Ortaklık hesabı kimliği"
"Status","durum"
"Email Notification","Eposta bildirimi"
"Account","hesap"
"Save and Continue Edit","Kaydet ve Devam Et"
"Edit Account '%1'","Hesabı Düzenle '%1'"
"Balance","Denge"
"Referral Code","Yönlendirme Kodu"
"Save Banner","Afiş Kaydet"
"Edit Banner ""%1""","Şeridi Düzenle ""%1"""
"New Banner","Yeni Afiş"
"Banner Information","Afiş Bilgisi"
"Title","Başlık"
"Content","içerik"
"Url","URL"
"If empty, home page will be used.","Boş ise ana sayfa kullanılacaktır."
"Related Campaign","İlgili Kampanya"
"Only affiliates who are in above campaign can see this banner.","Yalnızca kampanyanın üstünde olan üyeler bu banner'ı görebilirler."
"Rel Nofollow","Rel Nofollow"
"Put the rel=""nofollow"" attribute on the link.","Bağlantıya rel = ""nofollow"" özelliğini ekleyin."
"Save Campaign","Kampanyayı Kaydet"
"Edit Campaign ""%1""","""%1"" Kampanyasını Düzenle"
"New Campaign","Yeni Kampanya"
"Campaign Information","Kampanya Bilgisi"
"Name","isim"
"Description","Açıklama"
"Website IDs","Web Sitesi Kimlikleri"
"Affiliate Groups","Bağlı Kuruluş Grupları"
"Display","ekran"
"Active From Date","Aktif Başlangıç ​​Tarihi"
"Active To Date","Geçerlilik Zamanı"
"Sort Order","Sıralama düzeni"
"Pay Per Sale","Satış Ücreti Ödenmesi"
"Add Commission Type and Value","Komisyon Türünü ve Değeri Ekle"
"Commissions","Komisyonlar"
"Percentage of grand total","Toplam toplamın yüzdesi"
"Fixed amount","Sabit miktar"
"Apply the rule only if the following conditions are met (leave blank for all products)","Kuralları yalnızca aşağıdaki koşullar yerine getirildiğinde uygulayın (tüm ürünler için boş bırakın)"
"Condition","Şart"
"Conditions","Koşullar"
"Discounts","İndirimler"
"Discount","İndirim"
"Apply","Uygulamak"
"Discount Amount","İndirim tutarı"
"Apply to Shipping Amount","Nakliye Miktarı'na Başvurun"
"Discount Description","İndirim Açıklaması"
"Save Group","Grubu Kaydet"
"New Group","Yeni Grup"
"Group Information","Grup Bilgileri"
"Group","grup"
"label","etiket"
"Reset banner traffic","Afiş trafiğini sıfırla"
"Save Transaction","İşlemi Kaydet"
"New Transaction","Yeni İşlem"
"Please select an affiliate account","Lütfen bağlı bir hesap seçin"
"Transaction Information","İşlem Bilgileri"
"Amount","Tutar"
"Add or subtract affiliate's balance. E.g: 99 or -99","Bağlı kuruluşun bakiyesini ekleyin veya çıkarın. Örneğin: 99 veya -99"
"Holding Transaction For","Holding İşlemi İçin"
"Transaction","işlem"
"Are you sure you want to cancel this transaction?","Bu işlemi iptal etmek istediğinizden emin misiniz?"
"Are you sure you want to complete this transaction?","Bu işlemi tamamlamak istediğinizden emin misiniz?"
"Complete","Tamamlayınız"
"View Transaction '%1'","İşlemi Görüntüle '%1'"
"Affiliate Account","Ortaklık Hesabı"
"Type","tip"
"Order","Sipariş"
"Created by","Tarafından yaratıldı"
"This transaction will be holed to","Bu işlem,"
"Created Time","Oluşturulan Zaman"
"Save and Approve","Kaydet ve Onayla"
"Save","Kayıt etmek"
"New Withdraw","Yeni Para Çekme"
"Withdraw Information","Bilgi Çek"
"Include fee.","Bedeli dahil et."
"Fee","ücret"
"If empty, configuration value will be used.","Boş ise yapılandırma değeri kullanılacaktır."
"Payment Method","Ödeme şekli"
"Payment Detail","Ödeme detayları"
"Withdraw","çekilmek"
"Edit Withdraw '%1'","Çek'i Düzenle '%1'"
"Transfer Amount","Transfer miktarı"
"Real amount will be transfer to affiliate.","Gerçek tutar bağlı kuruluşa devredilecek."
"Affiliate Discount","Ortaklık İndirimi"
