"Affiliate Banners","Партнерські банери"
"My Credit","Мій кредит"
"Available Balance","Доступний залишок"
"Holding Balance","Холдинг-баланс"
"Total Earned","Всього зароблено"
"Total Paid","Всього сплачено"
"Refer friends","Зверніться до друзів"
"Affiliate Setting","Партнерська настройка"
"Signup Affiliate","Реєстрація партнера"
"My Withdrawal","Мій зняття"
"You can request withdraw when your balance equal or greater than %1","Ви можете подати запит на вилучення, якщо ваш баланс рівний або більше %1"
"You can withdraw a minimum %1","Ви можете зняти мінімум %1"
"You can withdraw a maximum %1","Ви можете зняти максимум %1"
"Save Account","Зберегти рахунок"
"Cancel","Скасувати"
"New Account","Новий акаунт"
"Please select a customer","Виберіть клієнта"
"Account Information","Інформація про обліковий запис"
"Customer","Клієнт"
"Affiliate Group","Партнерська група"
"Referred By","Віднесено"
"Affiliate account Id","Ідентифікатор афілійованого акаунта"
"Status","Статус"
"Email Notification","Повідомлення електронною поштою"
"Account","Рахунок"
"Save and Continue Edit","Зберегти та продовжити редагування"
"Edit Account '%1'","Редагувати обліковий запис ""%1"""
"Balance","Баланс"
"Referral Code","Промо-Код"
"Save Banner","Зберегти банер"
"Edit Banner ""%1""","Редагувати банер ""%1"""
"New Banner","Новий банер"
"Banner Information","Інформація про банер"
"Title","Назва"
"Content","Вміст"
"Url","Url"
"If empty, home page will be used.","Якщо порожній, буде використана домашня сторінка."
"Related Campaign","Пов'язана кампанія"
"Only affiliates who are in above campaign can see this banner.","Такі банери можуть бачити лише філії, які перебувають у вищевказаній кампанії."
"Rel Nofollow","Rel Nofollow"
"Put the rel=""nofollow"" attribute on the link.","Покладіть атрибут rel = ""nofollow"" на посилання."
"Save Campaign","Зберегти кампанію"
"Edit Campaign ""%1""","Редагувати кампанію ""%1"""
"New Campaign","Нова Кампанія"
"Campaign Information","Інформація про кампанію"
"Name","Ім'я"
"Description","Опис"
"Website IDs","Ідентифікатори веб-сайту"
"Affiliate Groups","Партнерські групи"
"Display","Дисплей"
"Active From Date","Активний з дати"
"Active To Date","Активний на дату"
"Sort Order","Порядок сортування"
"Pay Per Sale","Платити за продаж"
"Add Commission Type and Value","Додайте тип та вартість комісії"
"Commissions","Комісії"
"Percentage of grand total","Відсоток загальної кількості"
"Fixed amount","Фіксована сума"
"Apply the rule only if the following conditions are met (leave blank for all products)","Застосовуйте правило лише в тому випадку, якщо виконуються наступні умови (залиште порожнім для всіх продуктів)."
"Condition","Стан"
"Conditions","Умови"
"Discounts","Знижки"
"Discount","Знижка"
"Apply","Застосувати"
"Discount Amount","Сума дисконту"
"Apply to Shipping Amount","Заявка на суму доставки"
"Discount Description","Опис знижок"
"Save Group","Зберегти групу"
"New Group","Нова група"
"Group Information","Інформація про групу"
"Group","Група"
"label","Етикетка"
"Reset banner traffic","Скидання банерного трафіку"
"Save Transaction","Зберегти транзакцію"
"New Transaction","Нова транзакція"
"Please select an affiliate account","Будь ласка, виберіть партнерський рахунок"
"Transaction Information","Інформація про транзакцію"
"Amount","Сума"
"Add or subtract affiliate's balance. E.g: 99 or -99","Додайте або відніміть баланс партнера. Наприклад: 99 або -99"
"Holding Transaction For","Проведення транзакції для"
"Transaction","Транзакція"
"Are you sure you want to cancel this transaction?","Ви впевнені, що хочете скасувати цю транзакцію?"
"Are you sure you want to complete this transaction?","Ви впевнені, що хочете завершити цю транзакцію?"
"Complete","Завершити"
"View Transaction '%1'","Переглянути транзакцію '%1'"
"Affiliate Account","Партнерський рахунок"
"Type","Тип"
"Order","Замовлення"
"Created by","Створений"
"This transaction will be holed to","Ця трансакція буде зафіксована"
"Created Time","Створено час"
"Save and Approve","Зберегти та затвердити"
"Save","Зберегти"
