"Affiliate Banners","Biểu ngữ liên kết"
"My Credit","Tín dụng của tôi"
"Available Balance","Số dư hiện có"
"Holding Balance","Giữ số dư"
"Total Earned","Tổng cộng kiếm được"
"Total Paid","Tổng số chi trả"
"Refer friends","Giới thiệu bạn bè"
"Affiliate Setting","Cài đặt Chi nhánh"
"Signup Affiliate","Đăng ký liên kết"
"My Withdrawal","Huỷ bỏ của tôi"
"You can request withdraw when your balance equal or greater than %1","Bạn có thể yêu cầu thu hồi khi số dư của bạn bằng hoặc lớn hơn %1"
"You can withdraw a minimum %1","Bạn có thể rút tối thiểu %1"
"You can withdraw a maximum %1","Bạn có thể rút tối đa %1"
"Save Account","Lưu tài khoản"
"Cancel","Hủy"
"New Account","Tài khoản mới"
"Please select a customer","Vui lòng chọn một khách hàng"
"Account Information","thông tin tài khoản"
"Customer","khách hàng"
"Affiliate Group","Nhóm liên kết"
"Referred By","Gọi bằng"
"Affiliate account Id","Id tài khoản liên kết"
"Status","Trạng thái"
"Email Notification","thông báo có email"
"Account","Tài khoản"
"Save and Continue Edit","Lưu và Tiếp tục Chỉnh sửa"
"Edit Account '%1'","Chỉnh sửa Tài khoản '%1'"
"Balance","Cân đối"
"Referral Code","Mã giới thiệu"
"Save Banner","Lưu Banner"
"Edit Banner ""%1""","Chỉnh sửa Bảng quảng cáo ""%1"""
"New Banner","Biểu ngữ mới"
"Banner Information","Thông tin Bảng quảng cáo"
"Title","Chức vụ"
"Content","Nội dung"
"Url","Url"
"If empty, home page will be used.","Nếu trống, trang chủ sẽ được sử dụng."
"Related Campaign","Chiến dịch có liên quan"
"Only affiliates who are in above campaign can see this banner.","Chỉ có các chi nhánh trong chiến dịch trên có thể xem biểu ngữ này."
"Rel Nofollow","Rel Nofollow"
"Put the rel=""nofollow"" attribute on the link.","Đặt thuộc tính rel = ""nofollow"" vào liên kết."
"Save Campaign","Lưu chiến dịch"
"Edit Campaign ""%1""","Chỉnh sửa Chiến dịch ""%1"""
"New Campaign","Chiến dịch Mới"
"Campaign Information","Thông tin Chiến dịch"
"Name","Tên"
"Description","Sự miêu tả"
"Website IDs","ID trang web"
"Affiliate Groups","Nhóm liên kết"
"Display","Trưng bày"
"Active From Date","Hoạt động Từ Ngày"
"Active To Date","Active to Date"
"Sort Order","Thứ tự sắp xếp"
"Pay Per Sale","Pay Per Sale"
"Add Commission Type and Value","Thêm Loại Ủy quyền và Giá trị"
"Commissions","Hoa hồng"
"Percentage of grand total","Phần trăm tổng số tiền"
"Fixed amount","Số tiền cố định"
"Apply the rule only if the following conditions are met (leave blank for all products)","Chỉ áp dụng quy tắc nếu đáp ứng được các điều kiện sau (để trống cho tất cả các sản phẩm)"
"Condition","Điều kiện"
"Conditions","Điều kiện"
"Discounts","Giảm giá"
"Discount","Giảm giá"
"Apply","Ứng dụng"
"Discount Amount","Số tiền Giảm"
"Apply to Shipping Amount","Áp dụng với số tiền vận chuyển"
"Discount Description","Mô tả Giảm giá"
"Save Group","Lưu Nhóm"
"New Group","Nhóm mới"
"Group Information","Thông tin về Nhóm"
"Group","Nhóm"
"label","nhãn"
"Reset banner traffic","Đặt lại lưu lượng truy cập biểu ngữ"
"Save Transaction","Lưu giao dịch"
"New Transaction","Giao dịch Mới"
