"Affiliate Banners","会员横幅"
"My Credit","我的信用"
"Available Balance","可用余额"
"Holding Balance","持有余额"
"Total Earned","总计获得"
"Total Paid","总支付"
"Refer friends","推荐朋友"
"Affiliate Setting","会员设置"
"Signup Affiliate","注册会员"
"My Withdrawal","我的提款"
"You can request withdraw when your balance equal or greater than %1","当您的余额等于或大于%1时，您可以请求提款"
"You can withdraw a minimum %1","您可以提取最少%1"
"You can withdraw a maximum %1","您最多可以提取%1"
"Save Account","保存帐户"
"Cancel","取消"
"New Account","新账户"
"Please select a customer","请选择一个客户"
"Account Information","账户信息"
"Customer","顾客"
"Affiliate Group","会员组"
"Referred By","由......推荐"
"Affiliate account Id","会员帐户ID"
"Status","状态"
"Email Notification","电子邮件通知"
"Account","帐户"
"Save and Continue Edit","保存并继续编辑"
"Edit Account '%1'","修改帐号'%1'"
"Balance","平衡"
"Referral Code","推荐码"
"Save Banner","保存横幅"
"Edit Banner ""%1""","编辑横幅“%1”"
"New Banner","新旗帜"
"Banner Information","横幅信息"
"Title","标题"
"Content","内容"
"Url","网址"
"If empty, home page will be used.","如果为空，将使用主页。"
"Related Campaign","相关运动"
"Only affiliates who are in above campaign can see this banner.","只有属于上述广告系列的附属机构才能看到这个横幅。"
"Rel Nofollow","Rel Nofollow"
"Put the rel=""nofollow"" attribute on the link.","将rel =“nofollow”属性放在链接上。"
"Save Campaign","保存广告系列"
"Edit Campaign ""%1""","修改广告系列“%1”"
"New Campaign","新运动"
"Campaign Information","广告系列信息"
"Name","名称"
"Description","描述"
"Website IDs","网站ID"
"Affiliate Groups","会员组"
"Display","显示"
"Active From Date","活跃日期"
"Active To Date","活跃到日期"
"Sort Order","排序"
"Pay Per Sale","支付每销售"
"Add Commission Type and Value","添加佣金类型和价值"
"Commissions","委员会"
"Percentage of grand total","总数百分比"
"Fixed amount","固定值"
"Apply the rule only if the following conditions are met (leave blank for all products)","仅当符合以下条件时才应用规则（对于所有产品留空）"
"Condition","条件"
"Conditions","条件"
"Discounts","折扣"
"Discount","折扣"
"Apply","应用"
"Discount Amount","折扣金额"
"Apply to Shipping Amount","适用于运费金额"
"Discount Description","折扣说明"
"Save Group","保存组"
"New Group","新集团"
"Group Information","集团资料"
"Group","组"
"label","标签"
"Reset banner traffic","重置横幅流量"
"Save Transaction","保存交易"
"New Transaction","新交易"
"Please select an affiliate account","请选择一个联盟帐户"
"Transaction Information","交易信息"
"Amount","量"
"Add or subtract affiliate's balance. E.g: 99 or -99","添加或减去会员的余额。例如：99或-99"
"Holding Transaction For","持有交易"
"Transaction","交易"
"Are you sure you want to cancel this transaction?","您确定要取消此交易吗？"
"Are you sure you want to complete this transaction?","您确定要完成此交易吗？"
"Complete","完成"
"View Transaction '%1'","查看交易'%1'"
"Affiliate Account","会员帐户"
"Type","类型"
"Order","订购"
"Created by","由...制作"
"This transaction will be holed to","这个交易将被挖掘"
"Created Time","创建时间"
"Save and Approve","保存并批准"
"Save","保存"
"New Withdraw","新提款"
"Withdraw Information","提取信息"
"Include fee.","包含费用"
"Fee","费用"
"If empty, configuration value will be used.","如果为空，将使用配置值。"
"Payment Method","付款方法"
"Payment Detail","付款明细"
"Withdraw","收回"
"Edit Withdraw '%1'","编辑提款'%1'"
"Transfer Amount","转账金额"
"Real amount will be transfer to affiliate.","实际金额将转移给会员。"
"Affiliate Discount","会员折扣"
"Please input your friends email address.","请输入您的朋友的电子邮件地址。"
"Saved successfully!","保存成功！"
"Something went wrong while saving the Account.","保存帐户时发生错误。"
"Your account is not active. Please contact us.","您的帐户无效。请联系我们。"
"You have to agree with term and conditions.","你必须同意条款和条件。"
"Congratulations! You have successfully registered. We will review your affiliate account and inform you once it's approved!","恭喜！您已成功注册。我们会审查您的联属网络营销帐户，并通知您！"
"Congratulations! You have successfully registered.","恭喜！您已成功注册。"
"The withdraw has been canceled successfully.","撤回已成功取消。"
"Something went wrong while saving the request.","保存请求时发生错误。"
"Cannot find item.","找不到项目。"
"An error occur. Please contact us.","发生错误请联系我们。"
"Your request has been sent successfully. We will review your request and inform you once it's approved!","您的请求已成功发送。我们会审核您的请求并通知您一旦批准！"
"Your balance is not enough for request withdraw.","您的余额不足以请求撤销。"
"The withdraw amount have to equal or greater than %1","撤回金额必须等于或大于%1"
"The withdraw amount have to equal or less than %1","撤回金额必须等于或小于%1"
"This account no longer exists.","此帐户不再存在。"
"The Account has been deleted.","帐户已被删除。"
"Account to delete was not found.","未找到要删除的帐户。"
"Accounts","帐号"
"Edit Account ""%1""","编辑帐号“%1”"
"A total of %1 record(s) have been deleted.","共删除了%1条记录。"
"The customer ""%1"" has registed as an affiliate already.","客户“%1”已经注册为会员。"
"Cannot find account referred.","找不到帐户引用。"
"The Account has been created successfully.","该帐户已成功创建。"
"The Account has been saved successfully.","帐户已成功保存。"
"The Banner has been deleted.","横幅已被删除。"
"Something went wrong while deleting banner data. Please review the action log and try again.","删除横幅数据时发生错误。请查看操作日志，然后重试。"
"We cannot find a banner to delete.","我们找不到要删除的横幅。"
"This banner no longer exists.","此横幅不再存在。"
"Banners","横幅"
"Edit Banner","编辑横幅"
"This banner does not exist.","此横幅不存在。"
"You saved the banner.","你保存了横幅。"
"We cannot save the banner.","我们无法保存横幅。"
"This campaign no longer exists.","此广告系列已不复存在。"
"The Campaign has been deleted.","广告系列已被删除。"
"Campaign to delete was not found.","没有找到要删除的广告系列。"
"Campaigns","广告活动"
"Please correct the data sent.","请更正发送的数据。"
"Something went wrong while saving the Campaign.","保存广告系列时出现问题。"
"The Campaign has been saved successfully.","广告系列已成功保存。"
"Tier","一级"
"Groups","组"
"Something went wrong while saving the Group.","保存组时发生错误。"
"Cannot remove this group","无法删除此组"
"The Group has been created successfully.","集团已成功创建。"
"The Transaction has been canceled.","交易已被取消。"
"The Transaction has been completed.","交易已经完成。"
"Transactions","交易"
"View Transaction ""%1""","查看交易“%1”"
"This Transaction no longer exists.","此事务不再存在。"
"A total of %1 record(s) have been canceled.","共有%1条记录已被取消。"
"A total of %1 record(s) have been completed.","共有%1条记录已经完成。"
"Account balance is not enough to create this transaction.","帐户余额不足以创建此交易。"
"The Transaction has been created.","交易已创建。"
