"Affiliate Banners","會員橫幅"
"My Credit","我的信用"
"Available Balance","可用餘額"
"Holding Balance","持有餘額"
"Total Earned","總計獲得"
"Total Paid","總支付"
"Refer friends","推薦朋友"
"Affiliate Setting","會員設置"
"Signup Affiliate","註冊會員"
"My Withdrawal","我的提款"
"You can request withdraw when your balance equal or greater than %1","當您的餘額等於或大於%1時，您可以請求提款"
"You can withdraw a minimum %1","您可以提取最少%1"
"You can withdraw a maximum %1","您最多可以提取%1"
"Save Account","保存帳戶"
"Cancel","取消"
"New Account","新賬戶"
"Please select a customer","請選擇一個客戶"
"Account Information","賬戶信息"
"Customer","顧客"
"Affiliate Group","會員組"
"Referred By","由......推薦"
"Affiliate account Id","會員帳戶ID"
"Status","狀態"
"Email Notification","電子郵件通知"
"Account","帳戶"
"Save and Continue Edit","保存並繼續編輯"
"Edit Account '%1'","修改帳號'%1'"
"Balance","平衡"
"Referral Code","推薦碼"
"Save Banner","保存橫幅"
"Edit Banner ""%1""","編輯橫幅“%1”"
"New Banner","新旗幟"
"Banner Information","橫幅信息"
"Title","標題"
"Content","內容"
"Url","網址"
"If empty, home page will be used.","如果為空，將使用主頁。"
"Related Campaign","相關運動"
"Only affiliates who are in above campaign can see this banner.","只有屬於上述廣告系列的附屬機構才能看到這個橫幅。"
"Rel Nofollow","Rel Nofollow"
"Put the rel=""nofollow"" attribute on the link.","將rel =“nofollow”屬性放在鏈接上。"
"Save Campaign","保存廣告系列"
"Edit Campaign ""%1""","修改廣告系列“%1”"
"New Campaign","新運動"
"Campaign Information","廣告系列信息"
"Name","名稱"
"Description","描述"
"Website IDs","網站ID"
"Affiliate Groups","會員組"
"Display","顯示"
"Active From Date","活躍日期"
"Active To Date","活躍到日期"
"Sort Order","排序"
"Pay Per Sale","支付每銷售"
"Add Commission Type and Value","添加佣金類型和價值"
"Commissions","委員會"
"Percentage of grand total","總數百分比"
"Fixed amount","固定值"
"Apply the rule only if the following conditions are met (leave blank for all products)","僅當符合以下條件時才應用規則（對於所有產品留空）"
"Condition","條件"
"Conditions","條件"
"Discounts","折扣"
"Discount","折扣"
"Apply","應用"
"Discount Amount","折扣金額"
"Apply to Shipping Amount","適用於運費金額"
"Discount Description","折扣說明"
"Save Group","保存組"
"New Group","新集團"
"Group Information","集團資料"
"Group","組"
"label","標籤"
"Reset banner traffic","重置橫幅流量"
"Save Transaction","保存交易"
"New Transaction","新交易"
"Please select an affiliate account","請選擇一個聯盟帳戶"
"Transaction Information","交易信息"
"Amount","量"
"Add or subtract affiliate's balance. E.g: 99 or -99","添加或減去會員的餘額。例如：99或-99"
"Holding Transaction For","持有交易"
"Transaction","交易"
"Are you sure you want to cancel this transaction?","您確定要取消此交易嗎？"
"Are you sure you want to complete this transaction?","您確定要完成此交易嗎？"
"Complete","完成"
"View Transaction '%1'","查看交易'%1'"
"Affiliate Account","會員帳戶"
"Type","類型"
"Order","訂購"
"Created by","由...製作"
"This transaction will be holed to","這個交易將被挖掘"
"Created Time","創建時間"
"Save and Approve","保存並批准"
"Save","保存"
"New Withdraw","新提款"
"Withdraw Information","提取信息"
"Include fee.","包含費用"
"Fee","費用"
"If empty, configuration value will be used.","如果為空，將使用配置值。"
"Payment Method","付款方法"
"Payment Detail","付款明細"
"Withdraw","收回"
"Edit Withdraw '%1'","編輯提款'%1'"
"Transfer Amount","轉賬金額"
"Real amount will be transfer to affiliate.","實際金額將轉移給會員。"
"Affiliate Discount","會員折扣"
"Please input your friends email address.","請輸入您的朋友電子郵件地址。"
"Saved successfully!","保存成功！"
"Something went wrong while saving the Account.","保存帳戶時發生錯誤。"
"Your account is not active. Please contact us.","您的帳戶無效。請聯繫我們。"
"You have to agree with term and conditions.","你必須同意條款和條件。"
"Congratulations! You have successfully registered. We will review your affiliate account and inform you once it's approved!","恭喜！您已成功註冊。我們會審查您的聯屬網絡營銷帳戶，並通知您！"
"Congratulations! You have successfully registered.","恭喜！您已成功註冊。"
"The withdraw has been canceled successfully.","撤回已成功取消。"
"Something went wrong while saving the request.","保存請求時發生錯誤。"
"Cannot find item.","找不到項目。"
"An error occur. Please contact us.","發生錯誤請聯繫我們。"
"Your request has been sent successfully. We will review your request and inform you once it's approved!","您的請求已成功發送。我們會審核您的請求並通知您一旦批准！"
"Your balance is not enough for request withdraw.","您的餘額不足以請求撤銷。"
"The withdraw amount have to equal or greater than %1","撤回金額必須等於或大於%1"
"The withdraw amount have to equal or less than %1","撤回金額必須等於或小於%1"
"This account no longer exists.","此帳戶不再存在。"
"The Account has been deleted.","帳戶已被刪除。"
"Account to delete was not found.","未找到要刪除的帳戶。"
"Accounts","帳號"
"Edit Account ""%1""","編輯帳號“%1”"
"A total of %1 record(s) have been deleted.","共刪除了%1條記錄。"
"The customer ""%1"" has registed as an affiliate already.","客戶“%1”已經註冊為會員。"
"Cannot find account referred.","找不到帳戶引用。"
"The Account has been created successfully.","該帳戶已成功創建。"
"The Account has been saved successfully.","帳戶已成功保存。"
"The Banner has been deleted.","橫幅已被刪除。"
"Something went wrong while deleting banner data. Please review the action log and try again.","刪除橫幅數據時發生錯誤。請查看操作日誌，然後重試。"
"We cannot find a banner to delete.","我們找不到要刪除的橫幅。"
"This banner no longer exists.","此橫幅不再存在。"
"Banners","橫幅"
"Edit Banner","編輯橫幅"
"This banner does not exist.","此橫幅不存在。"
"You saved the banner.","你保存了橫幅。"
"We cannot save the banner.","我們無法保存橫幅。"
"This campaign no longer exists.","此廣告系列已不復存在。"
"The Campaign has been deleted.","廣告系列已被刪除。"
"Campaign to delete was not found.","沒有找到要刪除的廣告系列。"
"Campaigns","廣告活動"
"Please correct the data sent.","請更正發送的數據。"
"Something went wrong while saving the Campaign.","保存廣告系列時出現問題。"
"The Campaign has been saved successfully.","廣告系列已成功保存。"
"Tier","一級"
"Groups","組"
"Something went wrong while saving the Group.","保存組時發生錯誤。"
"Cannot remove this group","無法刪除此組"
"The Group has been created successfully.","集團已成功創建。"
"The Transaction has been canceled.","交易已被取消。"
"The Transaction has been completed.","交易已經完成。"
"Transactions","交易"
"View Transaction ""%1""","查看交易“%1”"
"This Transaction no longer exists.","此事務不再存在。"
"A total of %1 record(s) have been canceled.","共有%1條記錄已被取消。"
"A total of %1 record(s) have been completed.","共有%1條記錄已經完成。"
"Account balance is not enough to create this transaction.","帳戶餘額不足以創建此交易。"
"The Transaction has been created.","交易已創建。"
"Something went wrong while saving the Transaction.","保存交易時發生錯誤。"
"This withdrawal no longer exists.","此撤回不再存在。"
"Withdraws","撤銷"
"Edit Withdraw ""%1""","編輯提款“%1”"
"Edit Withdraw ""#%1""","編輯提款“＃%1”"
"A total of %1 record(s) have been approved successfully.","共有%1條記錄已成功通過。"
"A total of %1 record(s) have been cancelled.","共有%1條記錄已被取消。"
"The Withdraw has been saved.","提款已被保存。"
"Something went wrong while saving the Withdraw.","保存提款時出現問題。"
"My Affiliate","我的會員"
"My Credit (%1)","我的信用（%1）"
"Active","活性"
"Inactive","待用"
"Need Approved","需要批准"
"Enabled","啟用"
"Disabled","殘"
"Percent of cart total","車總數百分比"
"Fixed amount discount for whole cart","整車固定金額折扣"
"Allow Guest","允許訪客"
"Affiliate Member Only","僅限會員會員"
"-- Please Select --","-  請選擇  -"
"Category page","類別頁面"
"Product page","產品頁面"
"Footer Link","頁腳鍊接"
"Top Link","熱門鏈接"
"Affiliate ID","會員ID"
"Affiliate Code","會員代碼"
"Hash","哈希"
"Parameter","參數"
"Address","地址"
"Paypal Email","貝寶電子郵件"
"Transaction Id","交易編號"
"Affiliate Campaign","聯盟營銷活動"
"Campaign %1","廣告系列%1"
"Affiliate account must be existed.","會員帳戶必須存在。"
"Transaction amount cannot be zero.","交易金額不能為零。"
"Account balance has been reached the limit. Please contact to store owner.","賬戶餘額已達到上限。請聯繫店主。"
"Invalid transaction data for canceling.","交易數據無效取消。"
"Account balance is not enough for canceling.","帳戶餘額不足以取消。"
"Invalid transaction data to complete.","交易數據無效完成。"
"Maximum amount allowed in account balance is %1.","帳戶餘額中允許的最高金額為%1。"
"Action model is invalid for %1","%1的操作模式無效"
"Changed by Admin","由管理員更改"
"Get commission for order %1","獲得佣金%1"
"Taken back commission for refunding order %1","取回退還佣金%1"
"Subtract balance for withdraw request","減去提款請求的餘額"
"On Hold","等候接聽"
"Completed","已完成"
"Cancelled","取消"
"Commission","佣金"
"Paid","付費"
"Admin","管理員"
"The amount request is not enough to pay for fee.","金額要求不足以支付費用。"
"Cannot create transaction for this withdraw.","無法為此撤回創建事務。"
"Invalid withdraw data for canceling.","退款資料無效取消。"
"Invalid withdraw data for approved.","無效的提取數據被批准。"
"Pending","有待"
"The Account has been saved.","帳戶已保存。"
"Affiliate Welcome homepage content","會員歡迎主頁內容"
"Affiliate referfriend description","聯盟參與者介紹"
"Affiliate terms & conditions","會員條款和條件"
"Delete ""%1""","刪除“%1”"
"Are you sure?","你確定？"
"Type (1st Order)","類型（一級）"
"Value (1st Order)","價值（一等）"
"Type (Next orders)","類型（下單）"
"Value (Next orders)","價值（下單）"
"Action","行動"
"Add","加"
"Delete","刪除"
"No","沒有"
"Yes","是"
"Link","鏈接"
